Year,sum,SSP585,sum.1,SSP370,sum.2,SSP245,sum.3,SSP126
1901,20.63798375,0.38511613,20.63798375,0.38511613,18.8171093,0.831324081,18.8171093,0.831324081
1902,20.44017692,0.187309305,20.44017692,0.187309305,18.47419409,0.488408878,18.47419409,0.488408878
1903,18.90886157,-1.344006049,18.90886157,-1.344006049,17.2354098,-0.75037542,17.2354098,-0.75037542
1904,19.68972871,-0.563138901,19.68972871,-0.563138901,17.78119591,-0.204589308,17.78119591,-0.204589308
1905,20.24808867,-0.00477895,20.24808867,-0.00477895,18.43219911,0.446413894,18.43219911,0.446413894
1906,20.16240706,-0.090460559,20.16240706,-0.090460559,18.15239883,0.166613612,18.15239883,0.166613612
1907,20.12159459,-0.131273022,20.12159459,-0.131273022,18.23999247,0.254207251,18.23999247,0.254207251
1908,19.97590636,-0.276961258,19.97590636,-0.276961258,17.74606664,-0.239718577,17.74606664,-0.239718577
1909,20.72181445,0.468946832,20.72181445,0.468946832,18.68842764,0.702642422,18.68842764,0.702642422
1910,20.07591661,-0.176951001,20.07591661,-0.176951001,18.36821865,0.382433431,18.36821865,0.382433431
1911,20.03858175,-0.214285863,20.03858175,-0.214285863,18.15714303,0.171357811,18.15714303,0.171357811
1912,19.54946009,-0.70340753,19.54946009,-0.70340753,17.6340351,-0.351750118,17.6340351,-0.351750118
1913,19.54992286,-0.702944754,19.54992286,-0.702944754,17.89292975,-0.092855465,17.89292975,-0.092855465
1914,18.77406101,-1.478806603,18.77406101,-1.478806603,17.23078284,-0.755002379,17.23078284,-0.755002379
1915,20.0055406,-0.247327016,20.0055406,-0.247327016,18.45354655,0.46776134,18.45354655,0.46776134
1916,19.61013517,-0.642732447,19.61013517,-0.642732447,18.37888623,0.39310101,18.37888623,0.39310101
1917,19.06379995,-1.189067663,19.06379995,-1.189067663,17.34487155,-0.640913662,17.34487155,-0.640913662
1918,20.15986819,-0.092999424,20.15986819,-0.092999424,18.81641856,0.830633343,18.81641856,0.830633343
