"","sum"
"lyr1",1.17481778025262
"lyr2",1.18080892671157
"lyr3",1.16017435110871
"lyr4",1.17493214390809
"lyr5",1.20272215032018
"lyr6",1.1925763937677
"lyr7",1.24595630334219
"lyr8",1.26091902274932
"lyr9",1.2925815594881
"lyr10",1.20589048173185
"lyr11",1.25624842734728
"lyr12",1.25235721117989
"lyr13",1.26093588165099
"lyr14",1.20937925131164
"lyr15",1.25873296790024
"lyr16",1.21997724466312
"lyr17",1.23773976746476
"lyr18",1.24565901689436
"lyr19",1.20889293099918
"lyr20",1.20674840375709
"lyr21",1.26445631237052
"lyr22",1.21066717941178
"lyr23",1.2551375668776
"lyr24",1.29175941465532
"lyr25",1.24924831340388
"lyr26",1.31535204578927
"lyr27",1.30781929755348
"lyr28",1.35912354874742
"lyr29",1.36112404636054
"lyr30",1.28040902133539
"lyr31",1.25653420236949
"lyr32",1.34748136144711
"lyr33",1.29159153433738
"lyr34",1.34453043117391
"lyr35",1.28221730895694
"lyr36",1.24211432031215
"lyr37",1.30042048879162
"lyr38",1.23067822269595
"lyr39",1.22691334710092
"lyr40",1.28806881117362
"lyr41",1.31665159123353
"lyr42",1.19717703844067
"lyr43",1.31874775102529
"lyr44",1.30798606292569
"lyr45",1.29694352773052
"lyr46",1.30805406215079
"lyr47",1.3292953851401
"lyr48",1.27981246331658
"lyr49",1.30087618220498
"lyr50",1.32734871988565
"lyr51",1.34662200018316
"lyr52",1.33505421500148
"lyr53",1.34101215349262
"lyr54",1.20163419491082
"lyr55",1.2639595274189
"lyr56",1.3137184376487
"lyr57",1.29033476754008
"lyr58",1.28975986947494
"lyr59",1.28368309179326
"lyr60",1.30645887580088
"lyr61",1.2904759455085
"lyr62",1.30759431815785
"lyr63",1.28669932949864
"lyr64",1.26044496079927
"lyr65",1.21178965509059
"lyr66",1.31890140687907
"lyr67",1.26726931449888
"lyr68",1.2214361301371
"lyr69",1.3136444578818
"lyr70",1.31490349585079
"lyr71",1.25869665525945
"lyr72",1.23343696282243
"lyr73",1.27480762669328
"lyr74",1.32950085777118
"lyr75",1.30366750090917
"lyr76",1.33918417593218
"lyr77",1.30818419887324
"lyr78",1.31518304061437
"lyr79",1.36601365458858
"lyr80",1.35333125131598
"lyr81",1.32455706883119
"lyr82",1.30548118879512
"lyr83",1.32697549353775
"lyr84",1.28880162179487
"lyr85",1.31792315866287
"lyr86",1.26167701671197
"lyr87",1.28182458539798
"lyr88",1.36297585058135
"lyr89",1.33928879560971
"lyr90",1.38646651074014
"lyr91",1.40461405100666
"lyr92",1.3445563096115
"lyr93",1.33129315766638
"lyr94",1.3317280306878
"lyr95",1.31905281029829
"lyr96",1.39321737121459
"lyr97",1.40709378574391
"lyr98",1.38746200199207
"lyr99",1.39685500568927
"lyr100",1.38889850766328
"lyr101",1.37010344231769
"lyr102",1.3503559338528
"lyr103",1.35873963137609
"lyr104",1.41316774946003
"lyr105",1.40181573987125
"lyr106",1.39058396147177
"lyr107",1.3966701603306
"lyr108",1.43142709556024
"lyr109",1.35286558336302
"lyr110",1.36177195774766
"lyr111",1.35662693866946
"lyr112",1.40488767814769
"lyr113",1.37926529499816
"lyr114",1.44151027695399
"lyr115",1.31227584419783
"lyr116",1.354651800736
"lyr117",1.31261472357694
"lyr118",1.26217894833497
"lyr119",1.29630711005699
"lyr120",1.33037019035336
"lyr121",1.35089476994142
"lyr122",1.29847668222764
"lyr123",1.27893496501014
"lyr124",1.35865436157458
"lyr125",1.27357484576029
"lyr126",1.32388572261051
"lyr127",1.35057719859442
"lyr128",1.41467829937133
"lyr129",1.39759301508139
"lyr130",1.38163177623281
"lyr131",1.38317773169593
"lyr132",1.36575158949432
"lyr133",1.33923830873733
"lyr134",1.34962195311
"lyr135",1.34000437202242
"lyr136",1.40420236794645
"lyr137",1.44117924872781
"lyr138",1.41361063813243
"lyr139",1.39374858850693
"lyr140",1.42459416343321
"lyr141",1.40946650603784
"lyr142",1.4283064123551
"lyr143",1.41841582196217
"lyr144",1.45747561137484
"lyr145",1.41501986698496
"lyr146",1.42904970109775
"lyr147",1.56085920182975
"lyr148",1.53489644647182
"lyr149",1.53718152734576
"lyr150",1.53559180419202
"lyr151",1.61791706322175
"lyr152",1.60726254379492
"lyr153",1.66594211028206
"lyr154",1.64684199377097
"lyr155",1.70872569353898
"lyr156",1.71806495542721
"lyr157",1.81371415065144
"lyr158",1.84966324091461
"lyr159",1.88735025644086
"lyr160",1.88706330904825
"lyr161",1.92303807156558
"lyr162",1.93786751762889
"lyr163",1.92117821112716
"lyr164",1.92222246276368
"lyr165",2.02594246082236
"lyr166",1.96427013189635
"lyr167",1.94204160904329
"lyr168",2.04087455892404
"lyr169",2.08474554432621
"lyr170",2.05872109616724
"lyr171",2.16506916189858
"lyr172",2.18332320647734
"lyr173",2.17920849069215
"lyr174",2.21088400646255
"lyr175",2.34029805195615
"lyr176",2.30774522194925
"lyr177",2.32026988934378
