"","sum","Year"
"Thawed_N_153",24.9012410376601,2002
"Thawed_N_154",24.6305598316494,2003
"Thawed_N_155",25.7023226389996,2004
"Thawed_N_156",25.937411359606,2005
"Thawed_N_157",26.8668298355133,2006
"Thawed_N_158",27.4709541498974,2007
"Thawed_N_159",27.9377375715126,2008
"Thawed_N_160",28.2437081731547,2009
"Thawed_N_161",28.2211558031663,2010
"Thawed_N_162",28.3910501384058,2011
"Thawed_N_163",28.5636827000839,2012
"Thawed_N_164",28.4233691864725,2013
"Thawed_N_165",30.0775298310751,2014
"Thawed_N_166",28.9165500579377,2015
"Thawed_N_167",28.4954807128829,2016
"Thawed_N_168",29.7880308882484,2017
"Thawed_N_169",30.1815329947286,2018
"Thawed_N_170",30.4145595343585,2019
"Thawed_N_171",31.5784495416667,2020
"Thawed_N_172",31.6623541823846,2021
"Thawed_N_173",31.6661909074509,2022
"Thawed_N_174",31.9994766599187,2023
"Thawed_N_175",33.3798888140489,2024
"Thawed_N_176",33.3865886966977,2025
"Thawed_N_177",33.4572166321009,2026
"Thawed_N_178",33.9254881529819,2027
"Thawed_N_179",35.1616235052765,2028
"Thawed_N_180",35.9699452019107,2029
"Thawed_N_181",36.2998554163345,2030
"Thawed_N_182",36.6231393182844,2031
"Thawed_N_183",36.9014760508344,2032
"Thawed_N_184",38.0859523436983,2033
"Thawed_N_185",37.6459157415087,2034
"Thawed_N_186",38.8554342961427,2035
"Thawed_N_187",38.8976864513646,2036
"Thawed_N_188",39.5018829626127,2037
"Thawed_N_189",40.4352805028759,2038
"Thawed_N_190",40.5243261184015,2039
"Thawed_N_191",41.0412752289042,2040
"Thawed_N_192",41.6388301840487,2041
"Thawed_N_193",42.0075156175997,2042
"Thawed_N_194",42.4531909988515,2043
"Thawed_N_195",42.3581075796547,2044
"Thawed_N_196",43.1913487268159,2045
"Thawed_N_197",43.6292463402537,2046
"Thawed_N_198",44.1120170772206,2047
"Thawed_N_199",45.0729651400537,2048
"Thawed_N_200",45.5561279905834,2049
"Thawed_N_201",46.4608186950289,2050
"Thawed_N_202",47.5021409113392,2051
"Thawed_N_203",46.8489210169309,2052
"Thawed_N_204",47.6622686525406,2053
"Thawed_N_205",48.0715895243966,2054
"Thawed_N_206",49.4574756587092,2055
"Thawed_N_207",49.8203026420559,2056
"Thawed_N_208",49.9797637847643,2057
"Thawed_N_209",50.8611191615232,2058
"Thawed_N_210",51.2024124706966,2059
"Thawed_N_211",51.3828818217232,2060
"Thawed_N_212",52.0283976898136,2061
"Thawed_N_213",52.9437615863435,2062
"Thawed_N_214",53.3157041892859,2063
"Thawed_N_215",52.9312939518111,2064
"Thawed_N_216",53.7525012013808,2065
"Thawed_N_217",55.0167137943932,2066
"Thawed_N_218",55.4141082736031,2067
"Thawed_N_219",55.6488371691838,2068
"Thawed_N_220",55.937087582126,2069
"Thawed_N_221",56.761879753455,2070
"Thawed_N_222",57.2437323271137,2071
"Thawed_N_223",58.1279380861227,2072
"Thawed_N_224",58.7141891070249,2073
"Thawed_N_225",59.0824660111056,2074
"Thawed_N_226",59.37798108124,2075
"Thawed_N_227",59.9478816503422,2076
"Thawed_N_228",60.321693193009,2077
"Thawed_N_229",60.0332908111127,2078
"Thawed_N_230",61.1743225971041,2079
"Thawed_N_231",61.8089206174833,2080
"Thawed_N_232",61.3821322023768,2081
