"","sum","Year"
"lyr1",1.174632264652,1850
"lyr2",1.18024750224468,1851
"lyr3",1.15990388090849,1852
"lyr4",1.17434498706825,1853
"lyr5",1.20244176099724,1854
"lyr6",1.19229836971409,1855
"lyr7",1.24533365311559,1856
"lyr8",1.26031950933599,1857
"lyr9",1.29193560890479,1858
"lyr10",1.20529708590694,1859
"lyr11",1.25563025133285,1860
"lyr12",1.25189947091275,1861
"lyr13",1.26073676713182,1862
"lyr14",1.2090973100259,1863
"lyr15",1.25843952083557,1864
"lyr16",1.21978459792668,1865
"lyr17",1.23745121452235,1866
"lyr18",1.24536861774584,1867
"lyr19",1.20861110308877,1868
"lyr20",1.20646707579801,1869
"lyr21",1.2638551171263,1870
"lyr22",1.2102448025246,1871
"lyr23",1.25469967518656,1872
"lyr24",1.29145826817059,1873
"lyr25",1.24895707748651,1874
"lyr26",1.31469471595581,1875
"lyr27",1.30734128572963,1876
"lyr28",1.35880669773447,1877
"lyr29",1.36080672897374,1878
"lyr30",1.28011052095566,1879
"lyr31",1.25624126790067,1880
"lyr32",1.34716722456478,1881
"lyr33",1.2911409246066,1882
"lyr34",1.34431811623054,1883
"lyr35",1.28160766911358,1884
"lyr36",1.24152374773574,1885
"lyr37",1.29980219410978,1886
"lyr38",1.2302488643672,1887
"lyr39",1.22630960632285,1888
"lyr40",1.28761943044852,1889
"lyr41",1.31634464166241,1890
"lyr42",1.19674640548959,1891
"lyr43",1.31853950742769,1892
"lyr44",1.30768113353988,1893
"lyr45",1.29664117267908,1894
"lyr46",1.30759770898253,1895
"lyr47",1.32881722829599,1896
"lyr48",1.27935210582541,1897
"lyr49",1.30057291033803,1898
"lyr50",1.32668539487256,1899
"lyr51",1.3463080636428,1900
"lyr52",1.33474297524645,1901
"lyr53",1.340529782045,1902
"lyr54",1.20135405922175,1903
"lyr55",1.26350487233961,1904
"lyr56",1.31341217188053,1905
"lyr57",1.2900339531818,1906
"lyr58",1.28914664346457,1907
"lyr59",1.28302024877036,1908
"lyr60",1.30625257274087,1909
"lyr61",1.29017509823755,1910
"lyr62",1.30728948009908,1911
"lyr63",1.28639936266612,1912
"lyr64",1.25982471975035,1913
"lyr65",1.21150715187001,1914
"lyr66",1.31859393281084,1915
"lyr67",1.26697387736489,1916
"lyr68",1.22115137804415,1917
