Year,mean_585,std_585,mean_370,std_370,mean_245,std_245,mean_126,std_126,TF
1900,12985.81886,5514.21614,12985.81886,5514.21614,11948.67107,5829.96708,11948.67107,4569.85724,1880-1900
1901,12801.99404,5373.83697,12801.99404,5373.83697,11922.88798,5740.95582,11922.88798,4500.08519,NA
1902,12679.80713,5407.23617,12679.80713,5407.23617,11707.70858,5686.14668,11707.70858,4457.12269,NA
1903,11730.11521,4782.86357,11730.11521,4782.86357,10924.90619,5112.28542,10924.90619,4007.29785,NA
1904,12214.73709,4970.91059,12214.73709,4970.91059,11270.11575,5201.92531,11270.11575,4077.56265,NA
1905,12559.23691,5180.10178,12559.23691,5180.10178,11678.69856,5586.67492,11678.69856,4379.15111,NA
1906,12506.66781,5171.3684,12506.66781,5171.3684,11502.60633,5462.29791,11502.60633,4281.65739,NA
1907,12481.1642,5006.48207,12481.1642,5006.48207,11557.86628,5285.23991,11557.86628,4142.86934,NA
1908,12391.67103,5196.06252,12391.67103,5196.06252,11249.39998,5345.22018,11249.39998,4189.88526,NA
1909,12852.8188,5287.52931,12852.8188,5287.52931,11843.27077,5558.41192,11843.27077,4356.99698,NA
1910,12453.66167,5135.92984,12453.66167,5135.92984,11641.96925,5434.39202,11641.96925,4259.78318,NA
1911,12430.70515,5039.20395,12430.70515,5039.20395,11506.17316,5359.13559,11506.17316,4200.79294,NA
1912,12127.40969,5053.28415,12127.40969,5053.28415,11174.6497,5379.39644,11174.6497,4216.67454,NA
1913,12128.00535,4943.65216,12128.00535,4943.65216,11340.6642,5334.05502,11340.6642,4181.13338,NA
1914,11646.47494,4734.11973,11646.47494,4734.11973,10919.00008,5145.30199,10919.00008,4033.17809,NA
1915,12410.69642,4904.03156,12410.69642,4904.03156,11697.27345,5366.66684,11697.27345,4206.69636,NA
1916,12165.23068,4711.72044,12165.23068,4711.72044,11644.32501,5148.44625,11644.32501,4035.64274,NA
1917,11826.4042,4513.24937,11826.4042,4513.24937,10992.06233,4759.15897,10992.06233,3730.49741,NA
1918,12506.43925,4886.2312,12506.43925,4886.2312,11929.56083,5334.3685,11929.56083,4181.3791,NA
1919,12469.38958,4905.09588,12469.38958,4905.09588,11697.92511,5322.70372,11697.92511,4172.23559,NA
1920,12163.8826,4702.75992,12163.8826,4702.75992,11215.06136,4944.38909,11215.06136,3875.69123,NA
1921,12042.18714,4889.44329,12042.18714,4889.44329,11160.10096,5203.71263,11160.10096,4078.96365,NA
1922,12511.36587,4998.11584,12511.36587,4998.11584,11639.28579,5321.26,11639.28579,4171.10392,NA
1923,12777.02292,5385.18051,12777.02292,5385.18051,11992.42395,5969.53705,11992.42395,4679.26006,NA
1924,12550.34806,5147.899,12550.34806,5147.899,11654.09799,5471.67263,11654.09799,4289.00583,NA
1925,12709.28633,5286.23986,12709.28633,5286.23986,11759.40589,5588.96378,11759.40589,4380.94525,NA
1926,12578.62544,5072.6512,12578.62544,5072.6512,11302.00729,5064.62045,11302.00729,3969.93535,NA
1927,12763.43921,5359.55218,12763.43921,5359.55218,11667.67492,5501.89631,11667.67492,4312.69686,NA
1928,13083.63836,5557.93421,13083.63836,5557.93421,12080.34395,5932.57879,12080.34395,4650.29009,NA
1929,13057.56302,5298.7377,13057.56302,5298.7377,12210.17165,5606.00868,12210.17165,4394.306,NA
1930,12733.78769,5212.52649,12733.78769,5212.52649,11765.40792,5466.12985,11765.40792,4284.66108,NA
1931,12661.84051,5230.43901,12661.84051,5230.43901,11617.22004,5354.035,11617.22004,4196.79481,NA
1932,12889.17866,5356.96109,12889.17866,5356.96109,11997.91144,5589.95636,11997.91144,4381.72329,NA
1933,12607.94305,5112.71764,12607.94305,5112.71764,11728.37672,5308.39228,11728.37672,4161.01747,NA
1934,12721.61713,5223.22098,12721.61713,5223.22098,11754.76015,5252.28634,11754.76015,4117.03847,NA
1935,12363.40088,5097.9972,12363.40088,5097.9972,11433.00734,5119.44772,11433.00734,4012.91207,NA
1936,12447.02994,5004.59774,12447.02994,5004.59774,11565.89829,5210.67908,11565.89829,4084.42435,NA
1937,12919.36998,5116.37737,12919.36998,5116.37737,11898.22856,5180.69827,11898.22856,4060.9237,NA
1938,12873.06626,5342.06777,12873.06626,5342.06777,12136.73547,5590.12608,12136.73547,4381.85632,NA
1939,13098.30273,5584.19357,13098.30273,5584.19357,12015.08542,5588.41515,12015.08542,4380.5152,NA
1940,13289.15322,5689.47447,13289.15322,5689.47447,12321.59189,5847.34835,12321.59189,4583.48166,NA
1941,12879.54515,5266.80206,12879.54515,5266.80206,12097.0948,5591.2812,12097.0948,4382.76177,NA
1942,12672.10609,5378.44078,12672.10609,5378.44078,11611.13288,5489.15329,11611.13288,4302.70815,NA
1943,12855.59574,5325.2325,12855.59574,5325.2325,11756.76434,5390.08732,11756.76434,4225.05465,NA
1944,12666.33052,5289.59537,12666.33052,5289.59537,11577.11449,5351.58429,11577.11449,4194.87381,NA
1945,13318.32775,5753.66383,13318.32775,5753.66383,12394.30701,6157.70895,12394.30701,4826.75981,NA
1946,13444.00539,5702.35471,13444.00539,5702.35471,12797.38458,6221.36329,12797.38458,4876.65568,NA
1947,13298.7395,5595.62435,13298.7395,5595.62435,12391.24581,5853.77494,12391.24581,4588.51918,NA
1948,13158.21342,5635.71595,13158.21342,5635.71595,12525.5471,6236.64582,12525.5471,4888.63499,NA
1949,13094.00627,5576.03219,13094.00627,5576.03219,12142.27389,5926.35734,12142.27389,4645.41337,NA
1950,12954.70716,5279.56132,12954.70716,5279.56132,12115.72838,5534.27259,12115.72838,4338.07521,NA
1951,13033.37893,5497.2718,13033.37893,5497.2718,11892.62686,5621.75014,11892.62686,4406.64505,NA
1952,13177.1549,5618.3224,13177.1549,5618.3224,12170.32369,5822.26491,12170.32369,4563.81984,NA
1953,13478.85512,5781.5363,13478.85512,5781.5363,12418.20782,6008.69415,12418.20782,4709.95361,NA
1954,13252.8892,5712.96124,13252.8892,5712.96124,12141.88471,5877.67178,12141.88471,4607.25088,NA
1955,13294.51045,5726.97765,13294.51045,5726.97765,12170.57611,5917.802,12170.57611,4638.7072,NA
1956,13289.09727,5669.34845,13289.09727,5669.34845,12231.75613,5889.78412,12231.75613,4616.74521,NA
1957,13601.0486,5813.19604,13601.0486,5813.19604,12684.80558,6224.37854,12684.80558,4879.0192,NA
1958,12996.77545,5356.6241,12996.77545,5356.6241,11963.01727,5653.10591,11963.01727,4431.22347,NA
1959,13180.59873,5598.12582,13180.59873,5598.12582,12086.00582,5820.89751,12086.00582,4562.748,NA
1960,13117.19196,5669.22518,13117.19196,5669.22518,11971.78164,5782.40595,11971.78164,4532.57614,NA
1961,13341.34404,5603.28879,13341.34404,5603.28879,12129.0095,5683.50917,12129.0095,4455.05526,NA
1962,13007.92451,5494.97191,13007.92451,5494.97191,11990.06258,5712.19974,11990.06258,4477.54455,NA
1963,13642.95004,5962.40451,13642.95004,5962.40451,12387.38893,6010.14551,12387.38893,4711.09126,NA
1964,12768.07053,5626.4755,12768.07053,5626.4755,11688.16249,5825.11094,11688.16249,4566.05072,NA
1965,13058.77883,5530.80444,13058.77883,5530.80444,11894.84324,5644.28508,11894.84324,4424.3092,NA
1966,12693.85027,5380.30022,12693.85027,5380.30022,11761.14677,5627.29786,11761.14677,4410.99366,NA
1967,12228.70634,5065.02862,12228.70634,5065.02862,11162.04616,4971.86772,11162.04616,3897.23053,NA
1968,12495.67997,5196.9448,12495.67997,5196.9448,11641.4185,5348.61971,11641.4185,4192.55,NA
1969,12682.13372,5634.02345,12682.13372,5634.02345,11538.61883,5783.52209,11538.61883,4533.45104,NA
1970,12794.92,5690.23587,12794.92,5690.23587,11784.92462,5833.7272,11784.92462,4572.80463,NA
1971,12585.69067,5100.02225,12585.69067,5100.02225,11781.7326,5253.46098,11781.7326,4117.95922,NA
1972,12256.98631,4988.72212,12256.98631,4988.72212,11590.62846,5194.64516,11590.62846,4071.85606,NA
1973,13068.0383,5408.81896,13068.0383,5408.81896,12133.55359,5503.35926,12133.55359,4313.84359,NA
1974,12384.06918,4993.56106,12384.06918,4993.56106,11410.94655,5078.01117,11410.94655,3980.43175,NA
1975,12782.60033,5095.78398,12782.60033,5095.78398,12001.92845,5315.86939,12001.92845,4166.87845,NA
1976,12843.17786,5228.51545,12843.17786,5228.51545,11883.26886,5275.92738,11883.26886,4135.56966,NA
1977,13325.50908,5468.00884,13325.50908,5468.00884,12248.07335,5527.61892,12248.07335,4332.85969,NA
1978,13200.96155,5427.68997,13200.96155,5427.68997,12293.66259,5661.94189,12293.66259,4438.14961,NA
1979,13055.12042,5438.3025,13055.12042,5438.3025,12207.27789,5688.76011,12207.27789,4459.17125,NA
1980,13366.36439,5651.90251,13366.36439,5651.90251,12272.58792,5841.39306,12272.58792,4578.81357,NA
1981,12826.06625,5379.95283,12826.06625,5379.95283,12055.57096,5865.42592,12055.57096,4597.65188,NA
1982,12998.62646,5309.13921,12998.62646,5309.13921,12245.20591,5644.89741,12245.20591,4424.78918,NA
1983,13035.09949,5174.56942,13035.09949,5174.56942,12360.15393,5521.81549,12360.15393,4328.31063,NA
1984,12766.54577,5258.97066,12766.54577,5258.97066,12142.11776,5672.54671,12142.11776,4446.46226,NA
1985,13453.41589,5473.01772,13453.41589,5473.01772,12807.80686,6003.84374,12807.80686,4706.15158,NA
1986,13472.39429,5422.46283,13472.39429,5422.46283,12645.61906,5759.80274,12645.61906,4514.85846,NA
1987,13406.25335,5349.16358,13406.25335,5349.16358,12646.69336,5633.60061,12646.69336,4415.93411,NA
1988,13298.19138,5371.48903,13298.19138,5371.48903,12508.11264,5750.3241,12508.11264,4507.42857,NA
1989,13566.09026,5445.38413,13566.09026,5445.38413,12954.3796,5936.08711,12954.3796,4653.04011,NA
1990,13591.22612,5246.337,13591.22612,5246.337,12695.00202,5343.61791,12695.00202,4188.62931,1990-2010
1991,13591.77283,5334.51933,13591.77283,5334.51933,12668.194,5376.63092,12668.194,4214.50677,1990-2010
1992,13446.517,5570.89009,13446.517,5570.89009,12463.8958,5682.36074,12463.8958,4454.15506,1990-2010
1993,13633.94186,5586.72671,13633.94186,5586.72671,12765.64971,5826.15713,12765.64971,4566.87078,1990-2010
1994,13529.32901,5423.77306,13529.32901,5423.77306,12869.64418,5829.06167,12869.64418,4569.14752,1990-2010
1995,13411.39927,5275.23441,13411.39927,5275.23441,12464.84755,5269.27914,12464.84755,4130.35838,1990-2010
1996,14384.91614,5723.51576,14384.91614,5723.51576,13332.57506,5828.3984,13332.57506,4568.62761,1990-2010
1997,14451.87682,5602.36056,14451.87682,5602.36056,13617.91929,5708.94794,13617.91929,4474.9956,1990-2010
1998,14561.87507,5761.65708,14561.87507,5761.65708,13643.35815,5891.62414,13643.35815,4618.18752,1990-2010
1999,14659.17679,6064.99811,14659.17679,6064.99811,14047.4555,6460.35797,14047.4555,5063.9932,1990-2010
2000,14970.58477,6113.29835,14970.58477,6113.29835,14222.70316,6494.63703,14222.70316,5090.86305,1990-2010
2001,15276.55505,6383.15436,15276.55505,6383.15436,14302.8915,6660.14798,14302.8915,5220.59988,1990-2010
2002,15531.41269,6280.46598,15531.41269,6280.46598,14439.13311,6318.35177,14439.13311,4952.68072,1990-2010
2003,15364.20025,6329.42347,15364.20025,6329.42347,14102.20011,6255.15216,14102.20011,4903.1413,1990-2010
2004,16031.41983,6540.29715,16031.41983,6540.29715,14600.89837,6477.54287,14600.89837,5077.46369,1990-2010
2005,16179.96764,6434.7344,16179.96764,6434.7344,14939.27638,6451.84561,14939.27638,5057.32073,1990-2010
2006,16760.34323,6886.2778,16760.34323,6886.2778,15179.24485,6867.95649,15179.24485,5383.49192,1990-2010
