,mean_585,mean_370,mean_245,mean_126,std_585,std_370,std_245,std_126,Year,,,,,,,,,,,,,,,,
thaw_depth_40,1.066347391,1.066347391,0.977100139,0.977100139,0.435121783,0.435121783,0.370664883,0.370664883,1889,,,,,,,,,,,,,,,,
thaw_depth_41,1.063507429,1.063507429,0.956254498,0.956254498,0.432684875,0.432684875,0.364492196,0.364492196,1890,,,,,,,,,,,,,,,,
thaw_depth_42,1.024777434,1.024777434,0.9192915,0.9192915,0.411588289,0.411588289,0.347859151,0.347859151,1891,,,,,,,,,,,,,,,,
thaw_depth_43,1.094095226,1.094095226,0.972852179,0.972852179,0.4331008,0.4331008,0.386636717,0.386636717,1892,,,,,,,,,,,,,,,,
thaw_depth_44,1.096458552,1.096458552,0.987392164,0.987392164,0.439804222,0.439804222,0.394261037,0.394261037,1893,,,,,,,,,,,,,,,,
thaw_depth_45,1.089558455,1.089558455,0.984348305,0.984348305,0.442020336,0.442020336,0.405946794,0.405946794,1894,,,,,,,,,,,,,,,,
thaw_depth_46,1.076446885,1.076446885,0.98217448,0.98217448,0.428831945,0.428831945,0.377535579,0.377535579,1895,,,,,,,,,,,,,,,,
thaw_depth_47,1.102623063,1.102623063,1.002116032,1.002116032,0.451300668,0.451300668,0.418075253,0.418075253,1896,,,,,,,,,,,,,,,,
thaw_depth_48,1.097531942,1.097531942,0.967771149,0.967771149,0.450397355,0.450397355,0.401715492,0.401715492,1897,,,,,,,,,,,,,,,,
thaw_depth_49,1.092641384,1.092641384,0.996422924,0.996422924,0.430523642,0.430523642,0.407966342,0.407966342,1898,,,,,,,,,,,,,,,,
thaw_depth_50,1.085057065,1.085057065,0.981696211,0.981696211,0.437133781,0.437133781,0.410742573,0.410742573,1899,,,,,,,,,,,,,,,,
thaw_depth_51,1.114599896,1.114599896,1.012903421,1.012903421,0.445364413,0.445364413,0.4257324,0.4257324,1900,,,,,,,,,,,,,,,,
thaw_depth_52,1.108957771,1.108957771,1.012764064,1.012764064,0.44349843,0.44349843,0.42345746,0.42345746,1901,,1.108957771,1.108957771,1.012764064,1.012764064,,,,,,,,,,,
thaw_depth_53,1.083530591,1.083530591,0.989202969,0.989202969,0.462785781,0.462785781,0.441011771,0.441011771,1902,,110.8957771,110.8957771,101.2764064,101.2764064,,,,,,,,,,,
thaw_depth_54,1.030910861,1.030910861,0.938711573,0.938711573,0.426170426,0.426170426,0.405421044,0.405421044,1903,,,,,,,,,,,,,,,,
thaw_depth_55,1.056381101,1.056381101,0.962651375,0.962651375,0.424530373,0.424530373,0.393604234,0.393604234,1904,,1.391229812,1.391229812,1.263390408,1.263390408,,,,,,,,,,,
thaw_depth_56,1.090374387,1.090374387,1.000266196,1.000266196,0.437615991,0.437615991,0.419755287,0.419755287,1905,,139.1229812,139.1229812,126.3390408,126.3390408,,,,,,,,,,,
thaw_depth_57,1.075703591,1.075703591,0.97828191,0.97828191,0.431400461,0.431400461,0.411399132,0.411399132,1906,,,,,,,,,,,,,,,,
thaw_depth_58,1.081100996,1.081100996,0.977018482,0.977018482,0.425053941,0.425053941,0.403104787,0.403104787,1907,,0.282272041,0.282272041,0.250626344,0.250626344,,,,,,,,,,,
thaw_depth_59,1.072241355,1.072241355,0.950073233,0.950073233,0.432147968,0.432147968,0.403010401,0.403010401,1908,,28.2272041,28.2272041,25.06263436,25.06263436,,,,,,,,,,,
thaw_depth_60,1.114205709,1.114205709,0.99061027,0.99061027,0.433767869,0.433767869,0.414159949,0.414159949,1909,,2.82272041,2.82272041,2.506263436,2.506263436,,,,,,,,,,,
thaw_depth_61,1.092506572,1.092506572,1.000659069,1.000659069,0.435447435,0.435447435,0.412735826,0.412735826,1910,,,,,,,,,,,,,,,,
thaw_depth_62,1.087065897,1.087065897,0.986800123,0.986800123,0.42574967,0.42574967,0.407950117,0.407950117,1911,,,,,,,,,,,,,,,,
thaw_depth_63,1.049111641,1.049111641,0.965212937,0.965212937,0.425159763,0.425159763,0.415251108,0.415251108,1912,,,,,,,,,,,,,,,,
thaw_depth_64,1.048592116,1.048592116,0.965370438,0.965370438,0.419749724,0.419749724,0.403610556,0.403610556,1913,,,,,,,,,,,,,,,,
thaw_depth_65,1.019493079,1.019493079,0.930370181,0.930370181,0.418406125,0.418406125,0.411608834,0.411608834,1914,,,,,,,,,,,,,,,,
thaw_depth_66,1.043939492,1.043939492,0.969942561,0.969942561,0.41407139,0.41407139,0.401922384,0.401922384,1915,,,,,,,,,,,,,,,,
thaw_depth_67,1.059960946,1.059960946,0.991295435,0.991295435,0.400253766,0.400253766,0.387950056,0.387950056,1916,,,,,,,,,,,,,,,,
thaw_depth_68,1.014375463,1.014375463,0.922573164,0.922573164,0.384067192,0.384067192,0.358214944,0.358214944,1917,,,,,,,,,,,,,,,,
thaw_depth_69,1.063027816,1.063027816,0.993025868,0.993025868,0.459562877,0.459562877,0.463779143,0.463779143,1918,,,,,,,,,,,,,,,,
thaw_depth_70,1.091647779,1.091647779,1.00537533,1.00537533,0.42399608,0.42399608,0.413982443,0.413982443,1919,,,,,,,,,,,,,,,,
thaw_depth_71,1.050189193,1.050189193,0.958187834,0.958187834,0.408000802,0.408000802,0.385954278,0.385954278,1920,,,,,,,,,,,,,,,,
thaw_depth_72,1.044254365,1.044254365,0.95541413,0.95541413,0.428707078,0.428707078,0.417990896,0.417990896,1921,,,,,,,,,,,,,,,,
thaw_depth_73,1.087305488,1.087305488,0.990201085,0.990201085,0.421456787,0.421456787,0.405551967,0.405551967,1922,,,,,,,,,,,,,,,,
thaw_depth_74,1.098366072,1.098366072,1.021552783,1.021552783,0.448964589,0.448964589,0.456034254,0.456034254,1923,,,,,,,,,,,,,,,,
thaw_depth_75,1.09972389,1.09972389,1.003355389,1.003355389,0.43869752,0.43869752,0.429010554,0.429010554,1924,,,,,,,,,,,,,,,,
thaw_depth_76,1.109374189,1.109374189,1.006466246,1.006466246,0.447216743,0.447216743,0.441849883,0.441849883,1925,,,,,,,,,,,,,,,,
thaw_depth_77,1.096678035,1.096678035,0.966694235,0.966694235,0.425835843,0.425835843,0.387261633,0.387261633,1926,,,,,,,,,,,,,,,,
thaw_depth_78,1.11682285,1.11682285,0.992850239,0.992850239,0.447483328,0.447483328,0.422865589,0.422865589,1927,,,,,,,,,,,,,,,,
thaw_depth_79,1.113244809,1.113244809,1.019330376,1.019330376,0.45986091,0.45986091,0.448049029,0.448049029,1928,,,,,,,,,,,,,,,,
thaw_depth_80,1.143487229,1.143487229,1.059594577,1.059594577,0.453599569,0.453599569,0.440030857,0.440030857,1929,,,,,,,,,,,,,,,,
thaw_depth_81,1.108289995,1.108289995,1.005436702,1.005436702,0.444494296,0.444494296,0.416725705,0.416725705,1930,,,,,,,,,,,,,,,,
