Year,mean_585,std_585,mean_370,std_370,mean_245,std_245,mean_126,std_126,TF
1900,1.298581886,0.551421614,1.298581886,0.551421614,1.194867107,0.582996708,1.194867107,0.456985724,1880-1900
1901,1.280199404,0.537383697,1.280199404,0.537383697,1.192288798,0.574095582,1.192288798,0.450008519,NA
1902,1.267980713,0.540723617,1.267980713,0.540723617,1.170770858,0.568614668,1.170770858,0.445712269,NA
1903,1.173011521,0.478286357,1.173011521,0.478286357,1.092490619,0.511228542,1.092490619,0.400729785,NA
1904,1.221473709,0.497091059,1.221473709,0.497091059,1.127011575,0.520192531,1.127011575,0.407756265,NA
1905,1.255923691,0.518010178,1.255923691,0.518010178,1.167869856,0.558667492,1.167869856,0.437915111,NA
1906,1.250666781,0.51713684,1.250666781,0.51713684,1.150260633,0.546229791,1.150260633,0.428165739,NA
1907,1.24811642,0.500648207,1.24811642,0.500648207,1.155786628,0.528523991,1.155786628,0.414286934,NA
1908,1.239167103,0.519606252,1.239167103,0.519606252,1.124939998,0.534522018,1.124939998,0.418988526,NA
1909,1.28528188,0.528752931,1.28528188,0.528752931,1.184327077,0.555841192,1.184327077,0.435699698,NA
1910,1.245366167,0.513592984,1.245366167,0.513592984,1.164196925,0.543439202,1.164196925,0.425978318,NA
1911,1.243070515,0.503920395,1.243070515,0.503920395,1.150617316,0.535913559,1.150617316,0.420079294,NA
1912,1.212740969,0.505328415,1.212740969,0.505328415,1.11746497,0.537939644,1.11746497,0.421667454,NA
1913,1.212800535,0.494365216,1.212800535,0.494365216,1.13406642,0.533405502,1.13406642,0.418113338,NA
1914,1.164647494,0.473411973,1.164647494,0.473411973,1.091900008,0.514530199,1.091900008,0.403317809,NA
1915,1.241069642,0.490403156,1.241069642,0.490403156,1.169727345,0.536666684,1.169727345,0.420669636,NA
1916,1.216523068,0.471172044,1.216523068,0.471172044,1.164432501,0.514844625,1.164432501,0.403564274,NA
1917,1.18264042,0.451324937,1.18264042,0.451324937,1.099206233,0.475915897,1.099206233,0.373049741,NA
1918,1.250643925,0.48862312,1.250643925,0.48862312,1.192956083,0.53343685,1.192956083,0.41813791,NA
1919,1.246938958,0.490509588,1.246938958,0.490509588,1.169792511,0.532270372,1.169792511,0.417223559,NA
1920,1.21638826,0.470275992,1.21638826,0.470275992,1.121506136,0.494438909,1.121506136,0.387569123,NA
1921,1.204218714,0.488944329,1.204218714,0.488944329,1.116010096,0.520371263,1.116010096,0.407896365,NA
1922,1.251136587,0.499811584,1.251136587,0.499811584,1.163928579,0.532126,1.163928579,0.417110392,NA
1923,1.277702292,0.538518051,1.277702292,0.538518051,1.199242395,0.596953705,1.199242395,0.467926006,NA
1924,1.255034806,0.5147899,1.255034806,0.5147899,1.165409799,0.547167263,1.165409799,0.428900583,NA
1925,1.270928633,0.528623986,1.270928633,0.528623986,1.175940589,0.558896378,1.175940589,0.438094525,NA
1926,1.257862544,0.50726512,1.257862544,0.50726512,1.130200729,0.506462045,1.130200729,0.396993535,NA
1927,1.276343921,0.535955218,1.276343921,0.535955218,1.166767492,0.550189631,1.166767492,0.431269686,NA
1928,1.308363836,0.555793421,1.308363836,0.555793421,1.208034395,0.593257879,1.208034395,0.465029009,NA
1929,1.305756302,0.52987377,1.305756302,0.52987377,1.221017165,0.560600868,1.221017165,0.4394306,NA
1930,1.273378769,0.521252649,1.273378769,0.521252649,1.176540792,0.546612985,1.176540792,0.428466108,NA
1931,1.266184051,0.523043901,1.266184051,0.523043901,1.161722004,0.5354035,1.161722004,0.419679481,NA
1932,1.288917866,0.535696109,1.288917866,0.535696109,1.199791144,0.558995636,1.199791144,0.438172329,NA
1933,1.260794305,0.511271764,1.260794305,0.511271764,1.172837672,0.530839228,1.172837672,0.416101747,NA
1934,1.272161713,0.522322098,1.272161713,0.522322098,1.175476015,0.525228634,1.175476015,0.411703847,NA
1935,1.236340088,0.50979972,1.236340088,0.50979972,1.143300734,0.511944772,1.143300734,0.401291207,NA
1936,1.244702994,0.500459774,1.244702994,0.500459774,1.156589829,0.521067908,1.156589829,0.408442435,NA
1937,1.291936998,0.511637737,1.291936998,0.511637737,1.189822856,0.518069827,1.189822856,0.40609237,NA
1938,1.287306626,0.534206777,1.287306626,0.534206777,1.213673547,0.559012608,1.213673547,0.438185632,NA
1939,1.309830273,0.558419357,1.309830273,0.558419357,1.201508542,0.558841515,1.201508542,0.43805152,NA
1940,1.328915322,0.568947447,1.328915322,0.568947447,1.232159189,0.584734835,1.232159189,0.458348166,NA
1941,1.287954515,0.526680206,1.287954515,0.526680206,1.20970948,0.55912812,1.20970948,0.438276177,NA
1942,1.267210609,0.537844078,1.267210609,0.537844078,1.161113288,0.548915329,1.161113288,0.430270815,NA
