Year,mean_126,std_126,mean_245,std_245,mean_370,std_370,mean_585,std_585,TF
1899,1.095921034,0.504822935,1.095921034,0.504822935,1.174797832,0.564743183,1.174797832,0.568542398,1880-1900
1900,1.13403949,0.513975584,1.13403949,0.513975584,1.215274196,0.572562296,1.215274196,0.577889507,1880-1900
1901,1.11854318,0.502293342,1.11854318,0.502293342,1.193964355,0.56489954,1.193964355,0.570738986,NA
1902,1.07939535,0.48949838,1.07939535,0.48949838,1.162482254,0.55170491,1.162482254,0.560958633,NA
1903,1.038488942,0.476391089,1.038488942,0.476391089,1.111969653,0.516640182,1.111969653,0.532173379,NA
1904,1.070678853,0.474716043,1.070678853,0.474716043,1.147812454,0.532449103,1.147812454,0.540425651,NA
1905,1.097501193,0.489250221,1.097501193,0.489250221,1.165762127,0.532969626,1.165762127,0.541558259,NA
1906,1.091314303,0.488686746,1.091314303,0.488686746,1.172615743,0.542725152,1.172615743,0.551849495,NA
1907,1.091446345,0.470529074,1.091446345,0.470529074,1.170867411,0.526999013,1.170867411,0.533459022,NA
1908,1.056654145,0.480651835,1.056654145,0.480651835,1.152669042,0.550596537,1.152669042,0.557088621,NA
1909,1.130746775,0.503765481,1.130746775,0.503765481,1.217962237,0.572050207,1.217962237,0.576195251,NA
1910,1.087865782,0.483684006,1.087865782,0.483684006,1.162075703,0.538031653,1.162075703,0.5477816,NA
1911,1.068886459,0.477252726,1.068886459,0.477252726,1.144843317,0.528248783,1.144843317,0.534066237,NA
1912,1.022283993,0.469702825,1.022283993,0.469702825,1.107086442,0.527892003,1.107086442,0.534463533,NA
1913,1.065811286,0.466840096,1.065811286,0.466840096,1.132395985,0.513419149,1.132395985,0.519192891,NA
1914,1.006774274,0.444543453,1.006774274,0.444543453,1.087504864,0.496457766,1.087504864,0.502770387,NA
1915,1.088283576,0.480460184,1.088283576,0.480460184,1.135019696,0.512825701,1.135019696,0.517618589,NA
1916,1.073821976,0.46178608,1.073821976,0.46178608,1.134443116,0.509078071,1.134443116,0.513067041,NA
