"","sum","Year"
"Thawed_N_152",0.522059987969784,2001
"Thawed_N_153",0.495268072131096,2002
"Thawed_N_154",0.490314129743542,2003
"Thawed_N_155",0.507746369003697,2004
"Thawed_N_156",0.505732072578484,2005
"Thawed_N_157",0.538349192497971,2006
"Thawed_N_158",0.578107508150773,2007
"Thawed_N_159",0.563265033032725,2008
"Thawed_N_160",0.575216664830338,2009
"Thawed_N_161",0.546829525248319,2010
"Thawed_N_162",0.572220815253192,2011
"Thawed_N_163",0.596026149783149,2012
"Thawed_N_164",0.567712166383014,2013
"Thawed_N_165",0.615754322834154,2014
"Thawed_N_166",0.609361918328791,2015
"Thawed_N_167",0.60569455627857,2016
"Thawed_N_168",0.639418703569881,2017
"Thawed_N_169",0.65340539672843,2018
"Thawed_N_170",0.640013212766526,2019
"Thawed_N_171",0.647581551325008,2020
"Thawed_N_172",0.656013180806067,2021
"Thawed_N_173",0.67004413516939,2022
"Thawed_N_174",0.682701387996097,2023
"Thawed_N_175",0.687879354082818,2024
"Thawed_N_176",0.696055791892642,2025
"Thawed_N_177",0.709363637046904,2026
"Thawed_N_178",0.71780096288466,2027
"Thawed_N_179",0.729522190893484,2028
"Thawed_N_180",0.714625348677484,2029
"Thawed_N_181",0.71903390850744,2030
"Thawed_N_182",0.740982297680797,2031
"Thawed_N_183",0.737082246576045,2032
"Thawed_N_184",0.766021828818407,2033
"Thawed_N_185",0.770607165110865,2034
"Thawed_N_186",0.775530332093685,2035
"Thawed_N_187",0.781498540047195,2036
"Thawed_N_188",0.806387084501863,2037
"Thawed_N_189",0.786293909030298,2038
"Thawed_N_190",0.79710871532231,2039
"Thawed_N_191",0.79733740611469,2040
"Thawed_N_192",0.792222693695291,2041
"Thawed_N_193",0.805131898829838,2042
"Thawed_N_194",0.791976182968391,2043
"Thawed_N_195",0.809398351084428,2044
"Thawed_N_196",0.828018518322514,2045
"Thawed_N_197",0.822240919031791,2046
"Thawed_N_198",0.824029300396106,2047
"Thawed_N_199",0.830644534382508,2048
"Thawed_N_200",0.816778531473995,2049
"Thawed_N_201",0.84607139081345,2050
"Thawed_N_202",0.86866859922436,2051
"Thawed_N_203",0.836052601493394,2052
"Thawed_N_204",0.826282123353123,2053
"Thawed_N_205",0.829758242679996,2054
"Thawed_N_206",0.855238368282848,2055
"Thawed_N_207",0.841411535260299,2056
"Thawed_N_208",0.828425185870411,2057
"Thawed_N_209",0.845881114610241,2058
"Thawed_N_210",0.862123847836011,2059
"Thawed_N_211",0.853916190514894,2060
"Thawed_N_212",0.843126645534182,2061
"Thawed_N_213",0.851497285748838,2062
"Thawed_N_214",0.860681720436022,2063
"Thawed_N_215",0.867625524847392,2064
"Thawed_N_216",0.873978024387884,2065
"Thawed_N_217",0.870517859692348,2066
"Thawed_N_218",0.874816195842953,2067
"Thawed_N_219",0.902163116599051,2068
"Thawed_N_220",0.896883520658056,2069
"Thawed_N_221",0.910964858873014,2070
"Thawed_N_222",0.899168221777522,2071
