"","sum","Year"
"Thawed_N_153",9.86451096905632,2003
"Thawed_N_154",9.93859215698286,2004
"Thawed_N_155",10.2705967576952,2005
"Thawed_N_156",10.0961026379957,2006
"Thawed_N_157",10.8070776172814,2007
"Thawed_N_158",11.4966705016498,2008
"Thawed_N_159",11.3601697955335,2009
"Thawed_N_160",11.6321176143961,2010
"Thawed_N_161",11.236479146149,2011
"Thawed_N_162",11.5631917631253,2012
"Thawed_N_163",11.9833257716405,2013
"Thawed_N_164",11.5799084426687,2014
"Thawed_N_165",12.29589936786,2015
"Thawed_N_166",11.9507877205157,2016
"Thawed_N_167",12.4139014091119,2017
"Thawed_N_168",12.9315724510907,2018
"Thawed_N_169",12.6616956728704,2019
"Thawed_N_170",12.9944919807722,2020
"Thawed_N_171",13.0053178172483,2021
"Thawed_N_172",13.4290247833892,2022
"Thawed_N_173",13.8591945499536,2023
"Thawed_N_174",13.8626171957611,2024
"Thawed_N_175",13.7194808344723,2025
"Thawed_N_176",14.1787338757249,2026
"Thawed_N_177",14.4703695542141,2027
"Thawed_N_178",14.5563692169338,2028
"Thawed_N_179",14.8813679868761,2029
"Thawed_N_180",15.1866267769017,2030
"Thawed_N_181",15.4225662801425,2031
"Thawed_N_182",15.586774436613,2032
"Thawed_N_183",15.4263788064296,2033
"Thawed_N_184",15.9164312827097,2034
"Thawed_N_185",15.9901977829675,2035
"Thawed_N_186",16.2375706785004,2036
"Thawed_N_187",16.6576634046544,2037
"Thawed_N_188",16.5292290379937,2038
"Thawed_N_189",16.7020700835899,2039
"Thawed_N_190",16.931811271912,2040
"Thawed_N_191",17.6107434485229,2041
"Thawed_N_192",17.686276227827,2042
"Thawed_N_193",17.8442155883425,2043
"Thawed_N_194",17.8355299613623,2044
"Thawed_N_195",18.0108628949824,2045
"Thawed_N_196",17.9460229072692,2046
"Thawed_N_197",18.2750985418493,2047
"Thawed_N_198",18.3448955052353,2048
"Thawed_N_199",18.4191898805061,2049
"Thawed_N_200",18.4126968026649,2050
"Thawed_N_201",18.4028577350899,2051
"Thawed_N_202",18.378292230964,2052
"Thawed_N_203",18.296167771934,2053
"Thawed_N_204",18.3499889124326,2054
"Thawed_N_205",18.5446933330682,2055
"Thawed_N_206",18.0624357034743,2056
"Thawed_N_207",18.1165910048531,2057
"Thawed_N_208",18.0963246547473,2058
"Thawed_N_209",18.0244907011753,2059
"Thawed_N_210",18.5078379867686,2060
"Thawed_N_211",18.3933748004204,2061
"Thawed_N_212",18.0417876360728,2062
"Thawed_N_213",17.8267132624776,2063
"Thawed_N_214",17.7896744805667,2064
"Thawed_N_215",17.9250570833273,2065
"Thawed_N_216",17.6988471258577,2066
"Thawed_N_217",17.4827512730821,2067
"Thawed_N_218",17.255455051572,2068
"Thawed_N_219",17.5199315620909,2069
"Thawed_N_220",17.0275524671617,2070
"Thawed_N_221",16.8511991750529,2071
"Thawed_N_222",16.6565720302587,2072
"Thawed_N_223",16.2164774730167,2073
"Thawed_N_224",16.4121282072983,2074
"Thawed_N_225",16.3400113800325,2075
"Thawed_N_226",15.8879391604765,2076
"Thawed_N_227",15.3455059666191,2077
"Thawed_N_228",15.5220069291386,2078
"Thawed_N_229",15.1819538823223,2079
"Thawed_N_230",15.1450769929929,2080
"Thawed_N_231",14.4977032774885,2081
"Thawed_N_232",14.4011889620895,2082
"Thawed_N_233",14.1891506208843,2083
"Thawed_N_234",13.9683676277602,2084
"Thawed_N_235",13.7633928381213,2085
"Thawed_N_236",13.681351249585,2086
"Thawed_N_237",13.3476209627164,2087
"Thawed_N_238",13.3569245064251,2088
"Thawed_N_239",13.068292400012,2089
"Thawed_N_240",13.035719583327,2090
"Thawed_N_241",12.6685183225367,2091
"Thawed_N_242",12.4305679143341,2092
"Thawed_N_243",12.3224338900784,2093
"Thawed_N_244",12.0688028211884,2094
"Thawed_N_245",11.6905903015689,2095
"Thawed_N_246",11.3320690684386,2096
"Thawed_N_247",11.3039429856071,2097
"Thawed_N_248",11.2670608836058,2098
"Thawed_N_249",10.8895816399018,2099
"Thawed_N_250",10.9537128332014,2100
