,barren,taiga,tundra,wetlands,total
1850,2.382383263,1.17481778,2.668153781,2.295607502,1.237310932
1851,2.310991252,1.180808927,2.813573075,2.690838814,1.263863488
1852,2.458013792,1.160174351,2.749508511,2.697926981,1.241336198
1853,1.916772134,1.174932144,2.791030035,3.836669703,1.274828749
1854,2.438648007,1.20272215,2.724293575,3.83555689,1.295616445
1855,2.323194211,1.192576394,2.725721533,3.754273163,1.288008455
1856,2.663099773,1.245956303,2.770790625,3.888209682,1.3552955
1857,2.318952667,1.260919023,2.730357571,3.536410352,1.366085144
1858,1.764952206,1.292581559,2.627905913,3.454161711,1.404714664
1859,2.415566541,1.205890482,2.803451936,2.661840569,1.304575503
1860,2.610356915,1.256248427,2.739207757,2.625485737,1.34792751
1861,2.564293433,1.252357211,2.853570353,2.949129993,1.378708814
1862,2.210690122,1.260935882,2.748855412,2.831726191,1.367138189
1863,2.366106054,1.209379251,2.912826471,3.083310862,1.328644094
1864,2.28029596,1.258732968,2.783850441,2.708712246,1.368675177
1865,2.690626905,1.219977245,2.713610048,3.008486812,1.321474256
1866,2.822992791,1.237739767,2.827815515,3.037817119,1.346289711
1867,2.414567159,1.245659017,2.755150891,3.039019625,1.364091676
1868,2.306621525,1.208892931,2.77823252,2.967978611,1.319331595
1869,2.573332249,1.206748404,2.826204252,2.803998031,1.318973158
1870,2.642513837,1.264456312,2.838155971,3.213102337,1.378939508
1871,2.276910007,1.210667179,2.769021611,3.122579361,1.320667946
1872,2.430916257,1.255137567,2.83447954,2.946190862,1.377925437
1873,2.757684988,1.291759415,2.822023849,3.102512418,1.409013755
1874,2.795494962,1.249248313,2.761114694,2.580301269,1.347335506
1875,2.645154846,1.315352046,2.745423556,3.051578047,1.435111147
1876,2.524859435,1.307819298,2.806332124,3.02622229,1.425717778
1877,2.380274811,1.359123549,2.859945014,3.993054488,1.500715627
1878,2.513662137,1.361124046,2.76242891,3.439040345,1.490703098
