"","Year","Total_Thawed_Nitrogen_Pg"
"1",1,0.833151177673
"2",2,1.076971190099
"3",3,1.054652149862
"4",4,1.300276084406
"5",5,1.247387053446
"6",6,1.27539115527
"7",7,1.505486092562
"8",8,1.482555449362
"9",9,1.717607417808
"10",10,1.316617264916
"11",11,1.286047579504
"12",12,1.741987807994
"13",13,1.509598978957
"14",14,1.564315189128
"15",15,1.546281194059
"16",16,1.405338227446
"17",17,1.473122358656
"18",18,1.67331495412
"19",19,1.498657686166
"20",20,1.500009171186
"21",21,1.583501360942
"22",22,1.500442963246
"23",23,1.704580323532
"24",24,1.664837543612
"25",25,1.364775158706
"26",26,1.783333042186
"27",27,1.706751320286
"28",28,2.101328391103
"29",29,1.993583771785
"30",30,1.97161741236
"31",31,1.602916360896
"32",32,1.949322780207
"33",33,1.960266173955
"34",34,2.184923731618
"35",35,1.772391110968
"36",36,1.756606996582
"37",37,2.122722167446
"38",38,1.714528396788
"39",39,1.886368872178
"40",40,1.991274215786
"41",41,1.954122760818
"42",42,1.423595068112
"43",43,1.914036086412
"44",44,1.67248560648
"45",45,1.712577961028
"46",46,1.653616257528
"47",47,1.830368355478
"48",48,1.788814694858
"49",49,1.574430569284
"50",50,1.765659645096
"51",51,1.737460603786
"52",52,1.648963509926
"53",53,1.84335175572
"54",54,1.447642150494
"55",55,1.577570812564
"56",56,1.647707351684
"57",57,1.748046661454
"58",58,1.667001265032
"59",59,1.708926273268
"60",60,1.602997132601
"61",61,1.706282031858
"62",62,1.590863069559
"63",63,1.536315020364
"64",64,1.487598680596
"65",65,1.337568949945
"66",66,1.574823003676
"67",67,1.438452539214
"68",68,1.392007774019
"69",69,1.52147787382
"70",70,1.61783231203
"71",71,1.566130013834
"72",72,1.498410138402
"73",73,1.728869875692
"74",74,1.71671455064
"75",75,1.680579127724
"76",76,1.593123555199
"77",77,1.571234117393
"78",78,1.735861810915
"79",79,1.96388184085
"80",80,1.801445868624
"81",81,1.689475042946
"82",82,1.783250147216
"83",83,1.940421936854
"84",84,1.696296139267
"85",85,1.745403705496
"86",86,1.690370541488
"87",87,1.73502246662
"88",88,1.972207501342
"89",89,1.887901344746
"90",90,2.070386531286
"91",91,2.120048889422
"92",92,1.992901323146
"93",93,1.984365097584
"94",94,2.159465174356
"95",95,1.935941257252
"96",96,2.32538753544
"97",97,2.234461385175
"98",98,2.401169555706
"99",99,1.900337108866
"100",100,2.081174053372
"101",101,2.126068314398
"102",102,2.318114081428
"103",103,2.507849923364
"104",104,2.40436696306
"105",105,2.308329479784
"106",106,2.341149849871
"107",107,2.348289933454
"108",108,2.714207574142
"109",109,2.3209500005
"110",110,2.463499633484
"111",111,2.627407562334
"112",112,2.705965418485
"113",113,2.401995795282
"114",114,2.511358248938
"115",115,2.442646210576
"116",116,2.314068510356
"117",117,2.138396731294
"118",118,2.010761730622
"119",119,2.105229002566
"120",120,2.245022256522
"121",121,2.18386747473
"122",122,2.103793259964
"123",123,1.990277878006
"124",124,2.285560258604
"125",125,2.09259626439
"126",126,1.957420098542
"127",127,2.101195891764
"128",128,2.30710938152
"129",129,2.212291928203
"130",130,2.344609295062
"131",131,2.469555670244
"132",132,2.248565576442
"133",133,2.16279552338
"134",134,2.020625441524
"135",135,2.007644286374
"136",136,2.03964356837
"137",137,2.18781031128
"138",138,2.219935653125
"139",139,2.113077882161
"140",140,2.27376915938
"141",141,2.594230266333
"142",142,2.487670511736
"143",143,2.279824685524
"144",144,2.288643885813
"145",145,2.443548902686
"146",146,2.513825923978
"147",147,2.92949891624
"148",148,2.975690768812
"149",149,3.267240722953
"150",150,3.325618112928
"151",151,3.513436841117
"152",152,3.784482459545
"153",153,3.792503662354
"154",154,3.902545183526
"155",155,4.189422514978
"156",156,4.290739241592
"157",157,4.876687151776
"158",158,5.242696571405
"159",159,5.311978696448
"160",160,5.863633988264
"161",161,5.745337067349
"162",162,6.0347197943
"163",163,6.018211706639
"164",164,6.369490143568
"165",165,7.025839277054
"166",166,6.939394871694
"167",167,6.941697153302
"168",168,7.296035908682
"169",169,7.106979976196
"170",170,7.907479547112
"171",171,8.360824478838
"172",172,8.489095522884
"173",173,9.328741782276
"174",174,9.105070856962
"175",175,9.790587787548
"176",176,10.631836205714
"177",177,11.060322105409
"178",178,11.17513806792
"179",179,11.986931978167
"180",180,12.54448526868
"181",181,12.651736984042
"182",182,12.936096650704
"183",183,13.648197386848
