"","Year","Total_Thawed_Nitrogen_Pg"
"1",1,16.5477209266476
"2",2,16.7628478877577
"3",3,16.65710810914
"4",4,17.6206939963576
"5",5,16.9437358953279
"6",6,17.3398059029797
"7",7,17.4281224287989
"8",8,18.08483355007
"9",9,17.7910082548917
"10",10,16.2205330032269
"11",11,17.382659651042
"12",12,16.9343076932658
"13",13,17.4466586520053
"14",14,17.2934968530619
"15",15,17.7259932019987
"16",16,17.5850848536218
"17",17,17.6602309557696
"18",18,17.2951548886737
"19",19,17.6065749076758
"20",20,16.7713447744319
"21",21,17.1919495080485
"22",22,16.9744089946073
"23",23,17.6895240497061
"24",24,17.9913043130497
"25",25,17.4970583568843
"26",26,18.3005652424574
"27",27,17.9533746806352
"28",28,18.8960383757602
"29",29,18.8175376566684
"30",30,18.0264661666791
"31",31,17.6690835763277
"32",32,18.2430290150563
"33",33,17.8492066165677
"34",34,18.4477655977069
"35",35,17.8899302121429
"36",36,17.3090031543941
"37",37,18.0146873483351
"38",38,17.1028467382063
"39",39,17.0115473316525
"40",40,18.0024667161823
"41",41,17.8087823693304
"42",42,17.0169734609969
"43",43,18.1564694451171
"44",44,18.2008316030356
"45",45,18.3952825959552
"46",46,17.9397262466565
"47",47,18.7773244766688
"48",48,17.9707116802355
"49",49,18.5525227744206
"50",50,18.3771378836904
"51",51,18.8478740283158
"52",52,18.8072036893455
"53",53,18.4677789831644
"54",54,17.2329838558857
"55",55,17.7775185864172
"56",56,18.4220184819861
"57",57,18.1442500095654
"58",58,18.2314172333675
"59",59,17.7448414589732
"60",60,18.6816152377746
"61",61,18.364081541981
"62",62,18.1498763327314
"63",63,17.6269301134743
"64",64,17.888801940611
"65",65,17.2236675378799
"66",66,18.4513185812643
"67",67,18.3677975361114
"68",68,17.3389161800936
"69",69,18.8177294780208
"70",70,18.4523465126161
"71",71,17.6906755939001
"72",72,17.603980875267
"73",73,18.3598486397857
"74",74,18.9168899768363
"75",75,18.3832134543067
"76",76,18.5493265014347
"77",77,17.8278243988491
"78",78,18.4046297526647
"79",79,19.0555752765324
"80",80,19.260365923137
"81",81,18.5587941221046
"82",82,18.3250420513563
"83",83,18.9255459623365
"84",84,18.5003809834134
"85",85,18.5419982940493
"86",86,18.0344643221996
"87",87,18.2440869600451
"88",88,18.7683058380714
"89",89,19.1445274442114
"90",90,18.9526362435953
"91",91,19.4361205951381
"92",92,19.0819981188503
"93",93,18.3154401490974
"94",94,18.5451597043134
"95",95,18.2617794327827
"96",96,19.550821668384
"97",97,20.1866375786214
"98",98,19.5459929214364
"99",99,19.7578402246403
"100",100,19.1532637713567
"101",101,19.1113907980411
"102",102,18.7594697066877
"103",103,19.1975096204688
"104",104,19.5885228781253
"105",105,19.1526498839787
"106",106,19.1979077926828
"107",107,19.2944133518667
"108",108,20.0090550834279
"109",109,18.8705037757557
"110",110,19.0645063328941
"111",111,18.8843287282611
"112",112,19.132340477702
"113",113,18.9131651395993
"114",114,19.5399090557628
"115",115,18.4369469232178
"116",116,18.7629658356815
"117",117,18.5520725661289
"118",118,17.6070492499185
"119",119,18.3632127835022
"120",120,18.2010562465792
"121",121,18.5895798241259
"122",122,18.5845447213841
"123",123,18.2830964079719
"124",124,19.139508340585
"125",125,17.9996655546128
"126",126,18.9318824045463
"127",127,18.7447083701875
"128",128,19.3201521910299
"129",129,19.3920648157508
"130",130,19.2558013050392
"131",131,19.3588215606401
"132",132,19.0164982812826
"133",133,19.3156290823153
"134",134,19.4969484874441
"135",135,19.1530174871663
"136",136,20.2030777168244
"137",137,19.9472421331858
"138",138,19.9489367361593
"139",139,19.7303390424739
"140",140,20.4342820501092
"141",141,20.025138986379
"142",142,19.9828519237966
"143",143,19.6605912521996
"144",144,20.1365788863742
"145",145,20.3006201172236
"146",146,19.6620925499284
"147",147,21.0308488567752
"148",148,21.4809517941776
"149",149,21.521079149474
"150",150,22.1585036630869
"151",151,22.4349399164414
"152",152,22.5614292769425
"153",153,22.7763372513449
"154",154,22.2448580044394
"155",155,23.0315063228488
"156",156,23.5652649283778
"157",157,23.9437919952531
"158",158,24.4172396731613
"159",159,24.8307981021042
"160",160,25.059617654653
"161",161,24.9124983770509
"162",162,25.2613054597536
"163",163,25.5156923128566
"164",164,25.0966699923634
"165",165,26.6175102155499
"166",166,28.1975167812351
"167",167,28.0129531868468
"168",168,27.4954477256823
"169",169,27.7981861235252
"170",170,28.7860896841961
"171",171,29.7372231753869
"172",172,29.0845465944154
"173",173,30.40477802842
"174",174,30.9585855430437
"175",175,30.5374119639039
"176",176,31.3952681054816
"177",177,30.4604145011347
"178",178,31.3587860752305
"179",179,32.03695717615
"180",180,32.7393119422374
"181",181,33.0196910179749
"182",182,32.8015021829722
"183",183,33.341690544605
"184",184,33.2128096452098
"185",185,34.9665303613533
"186",186,35.5652236043049
"187",187,35.892770308277
"188",188,35.7739929747755
"189",189,36.2864536384182
"190",190,37.2747199185856
"191",191,37.427215231404
"192",192,37.8372908375982
"193",193,38.4071059664345
"194",194,38.9320272951222
"195",195,38.9760831725172
"196",196,39.0773925085064
"197",197,39.5840323770014
"198",198,40.3227523692123
"199",199,40.6756649904294
"200",200,41.1209609228681
"201",201,41.385402435412
"202",202,41.6783541407768
"203",203,42.5217334939084
"204",204,42.5283835226704
"205",205,42.4310948775566
"206",206,43.0485959302487
"207",207,42.864431028607
"208",208,43.2143856712751
"209",209,43.9617866425395
"210",210,44.4901054264924
"211",211,45.0771342367572
"212",212,45.3656184572493
"213",213,45.7728388027009
"214",214,46.5801111955175
"215",215,46.6789798270132
"216",216,46.9358034875611
"217",217,47.1467138236087
"218",218,47.7023281486552
"219",219,48.7706512637589
"220",220,48.4702070458132
"221",221,47.6798165783857
"222",222,48.4942234995688
"223",223,49.1002163611711
"224",224,49.0452004325054
"225",225,49.7742535690047
"226",226,49.6890192738342
"227",227,49.8990311345262
"228",228,49.5761256968879
"229",229,50.2409823942046
"230",230,49.8667172648197
"231",231,50.1267415669526
"232",232,50.7772823883277
"233",233,50.6604787712099
"234",234,51.1757020077943
"235",235,51.7387893345904
"236",236,52.3799674553673
"237",237,52.6024185789902
"238",238,52.454260641918
"239",239,52.2922167626208
"240",240,52.4313507282993
"241",241,52.2534677167925
"242",242,52.9383925098079
"243",243,53.7708883975044
"244",244,53.6820621684976
"245",245,53.0809350704385
"246",246,53.9760219220092
"247",247,54.2706587957601
"248",248,54.2673849714078
"249",249,54.0843019373452
"250",250,53.7048410267056
"251",251,54.2342220934864
