"","sum"
"lyr1",1.10923592679742
"lyr2",1.14191686702938
"lyr3",1.11388575023526
"lyr4",1.17996495776338
"lyr5",1.20004870755592
"lyr6",1.19730398879587
"lyr7",1.23040833451332
"lyr8",1.25340394743549
"lyr9",1.27032796300181
"lyr10",1.13912592779076
"lyr11",1.2049806765259
"lyr12",1.20413267776817
"lyr13",1.20668075462019
"lyr14",1.17389159811346
"lyr15",1.2205576825082
"lyr16",1.18114712498888
"lyr17",1.20617010250896
"lyr18",1.19558699544578
"lyr19",1.21388878029385
"lyr20",1.16052993621033
"lyr21",1.20678313868091
"lyr22",1.19703046382679
"lyr23",1.22655155902851
"lyr24",1.25829606006875
"lyr25",1.2350197679057
"lyr26",1.27510165185313
"lyr27",1.26457027751055
"lyr28",1.35590513785255
"lyr29",1.35501379771213
"lyr30",1.26257508763837
"lyr31",1.24658122468476
"lyr32",1.31187564040969
"lyr33",1.25464776781325
"lyr34",1.31727051364119
"lyr35",1.23306864166418
"lyr36",1.18997538799004
"lyr37",1.27101700089345
"lyr38",1.19419349363773
"lyr39",1.18827884184455
"lyr40",1.26899613504439
"lyr41",1.25301049596447
"lyr42",1.16384819036557
"lyr43",1.28479432790786
"lyr44",1.28626880363559
"lyr45",1.29938858558828
"lyr46",1.2889477308446
"lyr47",1.3272083880217
"lyr48",1.25140755521972
"lyr49",1.2979926121677
"lyr50",1.30089729258479
"lyr51",1.32494369734877
"lyr52",1.33879685027699
"lyr53",1.34603842269933
"lyr54",1.21827559058875
"lyr55",1.2503176516421
"lyr56",1.30853175487292
"lyr57",1.2842937370965
"lyr58",1.29132512530168
"lyr59",1.26259206901072
"lyr60",1.29936425964938
"lyr61",1.31071342942294
"lyr62",1.30144917270156
"lyr63",1.28328646267838
"lyr64",1.26881363800448
"lyr65",1.24420750072776
"lyr66",1.31756896723614
"lyr67",1.3222133136854
"lyr68",1.22107865627247
"lyr69",1.36298369565525
"lyr70",1.33814271484419
"lyr71",1.24004714182825
"lyr72",1.24293821425336
"lyr73",1.28898562502608
"lyr74",1.32826450100055
"lyr75",1.30252240523595
"lyr76",1.34361669076167
"lyr77",1.25228368771817
"lyr78",1.30056963075986
"lyr79",1.37232066871135
"lyr80",1.36465189478089
"lyr81",1.3169888093006
"lyr82",1.29021158428707
"lyr83",1.34710150303044
"lyr84",1.31106557915176
"lyr85",1.32112860551989
"lyr86",1.26862308940943
"lyr87",1.29092179306231
"lyr88",1.36049438405455
"lyr89",1.37126297293424
"lyr90",1.38689310680268
"lyr91",1.412804350565
"lyr92",1.37180215671487
"lyr93",1.32069338885118
"lyr94",1.32700337051378
"lyr95",1.30793359166114
"lyr96",1.42398535231395
"lyr97",1.47254930170377
"lyr98",1.4266500032373
"lyr99",1.45180953152918
"lyr100",1.41234891393579
"lyr101",1.41447140143365
"lyr102",1.35694088304252
"lyr103",1.39343288220036
"lyr104",1.42995981403091
"lyr105",1.41048588660391
"lyr106",1.38497349997407
"lyr107",1.40060554103297
"lyr108",1.4893995894393
"lyr109",1.36610678978404
"lyr110",1.37381634416087
"lyr111",1.36967286033443
"lyr112",1.40805946803644
"lyr113",1.40151421790731
"lyr114",1.43405064643819
"lyr115",1.339611639927
"lyr116",1.36673138320278
"lyr117",1.33736256483566
"lyr118",1.26557407194291
"lyr119",1.32829045380564
"lyr120",1.33643616564425
"lyr121",1.38342026684679
"lyr122",1.34278759196809
"lyr123",1.34493195295415
"lyr124",1.37876127036501
"lyr125",1.30299615154334
"lyr126",1.35611483041997
"lyr127",1.36585471306359
"lyr128",1.43367535210197
"lyr129",1.4446832848634
"lyr130",1.43586793128523
"lyr131",1.39022711652668
"lyr132",1.42537118766826
"lyr133",1.39484673322922
"lyr134",1.39395177781725
"lyr135",1.4140672160893
"lyr136",1.46886354159285
"lyr137",1.4849243372132
"lyr138",1.46932719132303
"lyr139",1.43721427763072
"lyr140",1.504640184131
"lyr141",1.46044577838589
"lyr142",1.48195283907014
"lyr143",1.46023043647331
"lyr144",1.49938081612757
"lyr145",1.50483884703296
"lyr146",1.48916016883625
"lyr147",1.61178650086976
"lyr148",1.63535293511142
"lyr149",1.62410435785727
"lyr150",1.67092129894979
"lyr151",1.73722667707502
"lyr152",1.72224218377264
"lyr153",1.75265810663862
"lyr154",1.73878152763983
"lyr155",1.77492566855815
"lyr156",1.81905833076378
"lyr157",1.87738768165553
"lyr158",1.91193111669956
"lyr159",1.93090157281506
"lyr160",1.96146332678952
"lyr161",1.98121253112683
"lyr162",2.03061759810342
"lyr163",2.02209968321782
"lyr164",1.99737135421057
"lyr165",2.1061764014229
"lyr166",2.17163183662927
"lyr167",2.14667627166247
"lyr168",2.20527864428469
"lyr169",2.23702034272748
"lyr170",2.29442187409726
"lyr171",2.33409892629492
"lyr172",2.35478846680322
"lyr173",2.3733906910906
"lyr174",2.45041853848277
"lyr175",2.49554874200524
"lyr176",2.55375074614348
"lyr177",2.55617863071461
"lyr178",2.61780511305544
"lyr179",2.62175726634836
"lyr180",2.60691475255813
"lyr181",2.67995359029342
"lyr182",2.68948383752198
"lyr183",2.68577053146242
"lyr184",2.72046400695801
"lyr185",2.77835652196461
"lyr186",2.77003341658567
"lyr187",2.82086313573701
"lyr188",2.85390822386174
"lyr189",2.91877662198987
"lyr190",2.8575224715526
"lyr191",2.88450048896841
"lyr192",2.91610965765995
"lyr193",2.90129502873656
"lyr194",2.93918843933332
"lyr195",2.93470116667617
"lyr196",2.97658798897184
"lyr197",3.01907916222839
"lyr198",3.03577620361211
"lyr199",3.0393398017058
"lyr200",3.06242908398933
"lyr201",3.10490347163842
"lyr202",3.10680071536217
"lyr203",3.10907192227237
"lyr204",3.08371160298822
"lyr205",3.11363274563939
"lyr206",3.16313851244019
"lyr207",3.16743975787098
"lyr208",3.18172407281302
"lyr209",3.15035022048841
"lyr210",3.19012544926671
"lyr211",3.20130120902415
"lyr212",3.20138501248604
"lyr213",3.23115156571592
"lyr214",3.23149363383173
"lyr215",3.22869764013196
"lyr216",3.24232803750743
"lyr217",3.27418668599127
"lyr218",3.26807681444074
"lyr219",3.25189735796592
"lyr220",3.26207706429414
"lyr221",3.28040171407075
"lyr222",3.29963046825973
"lyr223",3.31070369420767
"lyr224",3.32352680150373
"lyr225",3.33803722398404
"lyr226",3.36189142923906
"lyr227",3.3405591632734
"lyr228",3.33265671777244
"lyr229",3.33892768917616
"lyr230",3.36958286420045
"lyr231",3.37128956550334
