"","sum"
"lyr1",2.73302120131839
"lyr2",2.34659528940206
"lyr3",2.74970996376206
"lyr4",1.86825326792278
"lyr5",1.99487091862689
"lyr6",2.31869652620149
"lyr7",2.39151039001101
"lyr8",2.34629586999384
"lyr9",1.97510845920513
"lyr10",2.85643402970487
"lyr11",2.02687479451707
"lyr12",2.79008857979212
"lyr13",2.30816932460247
"lyr14",2.53209036013993
"lyr15",2.23586651121147
"lyr16",2.65373800600858
"lyr17",3.22711035220148
"lyr18",2.27203854762611
"lyr19",2.02534484834907
"lyr20",2.22325698437894
"lyr21",2.48617595762743
"lyr22",2.07730092520288
"lyr23",2.69967151127248
"lyr24",2.83477392926447
"lyr25",2.75293874965494
"lyr26",2.63742393151687
"lyr27",2.9636252243273
"lyr28",2.47740350711447
"lyr29",2.54611037348838
"lyr30",2.39071482169077
"lyr31",2.8463990481278
"lyr32",3.06153096474829
"lyr33",2.49941524447137
"lyr34",2.9908876265883
"lyr35",3.06525369895574
"lyr36",3.09687326828125
"lyr37",2.62893999582497
"lyr38",3.09917374085234
"lyr39",3.54076723555429
"lyr40",2.87160980237677
"lyr41",3.20668773135192
"lyr42",3.40515973034288
"lyr43",2.71193333888424
"lyr44",2.81894915292737
"lyr45",3.0823921458464
"lyr46",2.91855284513267
"lyr47",2.41083957128248
"lyr48",2.55527511518192
"lyr49",2.86910716665463
"lyr50",2.81159317669446
"lyr51",2.11550405314147
"lyr52",2.72105856714319
"lyr53",2.54342445892377
"lyr54",2.71873428555451
"lyr55",2.8158192748574
"lyr56",2.78401605773184
"lyr57",2.70640631570412
"lyr58",2.71757333297021
"lyr59",2.44441029864667
"lyr60",2.65746329574062
"lyr61",2.21425783618288
"lyr62",2.92897756315031
"lyr63",2.98163845483386
"lyr64",3.02341058833971
"lyr65",3.18302242180331
"lyr66",2.51170676406742
"lyr67",2.35394079371397
"lyr68",3.12966404482732
"lyr69",2.41195399522403
"lyr70",2.58397183193638
"lyr71",2.26811150883544
"lyr72",2.64900815187945
"lyr73",2.48497946741657
"lyr74",2.03123010584581
"lyr75",2.76617620169831
"lyr76",2.710946915217
"lyr77",2.95678715981081
"lyr78",2.74568550013618
"lyr79",2.46965732169024
"lyr80",2.10769751102351
"lyr81",2.38650075734554
"lyr82",2.31707968357179
"lyr83",2.48520129144482
"lyr84",2.46727042244064
"lyr85",2.70584234872456
"lyr86",2.40652273043326
"lyr87",2.67265792487642
"lyr88",2.41281260930202
"lyr89",2.38405773401325
"lyr90",2.78516086374398
"lyr91",2.42023139513283
"lyr92",2.26800138344308
"lyr93",2.62588233779563
"lyr94",2.26880782591373
"lyr95",2.18575511659414
"lyr96",2.15376482609685
"lyr97",2.30329634797409
"lyr98",2.17905269164528
"lyr99",2.86776845923946
"lyr100",2.75727119767902
"lyr101",2.70833266025086
"lyr102",2.65730270616321
"lyr103",2.18509941326521
"lyr104",2.41454112422197
"lyr105",2.66079635074293
"lyr106",2.46917811193663
"lyr107",2.76238659413258
"lyr108",2.30502084564966
"lyr109",2.91227005035679
"lyr110",2.40098044354229
"lyr111",2.39739423358894
"lyr112",2.83591119858726
"lyr113",2.54379019051641
"lyr114",2.67297355445829
"lyr115",3.10446511710468
"lyr116",2.48711116353556
"lyr117",2.84487532609466
"lyr118",2.7280554345489
"lyr119",2.88607553692292
"lyr120",2.78701053792958
"lyr121",2.7465662741848
"lyr122",2.72552699949107
"lyr123",2.81789854598768
"lyr124",2.83472187479951
"lyr125",2.81326567671757
"lyr126",3.28404233696667
"lyr127",2.51983606088166
"lyr128",2.75851444479964
"lyr129",2.34278012824529
"lyr130",2.35777234238726
"lyr131",2.56522104710123
"lyr132",2.58825886748364
"lyr133",2.4777479217682
"lyr134",3.05532068291838
"lyr135",2.73404400436318
"lyr136",2.87131134218298
"lyr137",3.25931638648948
"lyr138",2.78817371548442
"lyr139",2.54387051206132
"lyr140",2.57596017343368
"lyr141",2.97739307598903
"lyr142",3.01944939952151
"lyr143",3.05742326079769
"lyr144",2.97287352682802
"lyr145",2.81897664083604
"lyr146",3.08980638398497
"lyr147",2.86950515414543
"lyr148",2.80341245760121
"lyr149",2.84548131117839
"lyr150",2.72089128110552
"lyr151",2.7213540112229
"lyr152",2.74540473929499
"lyr153",2.78065889322489
"lyr154",2.91124714698563
"lyr155",2.87480941920796
"lyr156",2.80369800847429
"lyr157",2.76344649723098
"lyr158",2.64346170243245
"lyr159",2.84075787643178
"lyr160",2.80978043346778
"lyr161",2.98002178742861
"lyr162",2.96277047852661
"lyr163",2.98039608168367
"lyr164",2.9927417227537
"lyr165",2.93402773035773
"lyr166",3.25843665548065
"lyr167",3.14317549920139
"lyr168",2.93561666066496
"lyr169",3.14081492903304
"lyr170",3.07411957724673
"lyr171",2.91135672731275
"lyr172",3.10821414535223
"lyr173",2.92355817172648
"lyr174",2.99015707607885
"lyr175",3.06846036115725
"lyr176",3.06750904663022
"lyr177",3.27334769020369
"lyr178",3.17696202887049
"lyr179",3.14564301134069
"lyr180",3.15470605874953
"lyr181",3.07750996214752
"lyr182",3.17657298765291
"lyr183",3.27396763556794
"lyr184",3.20881768557813
"lyr185",3.06603487890609
"lyr186",3.15346445774866
"lyr187",3.00265534198782
"lyr188",3.02568333907167
"lyr189",3.14882387109262
"lyr190",3.00364748069329
"lyr191",3.01554634989337
"lyr192",2.8719360648301
"lyr193",2.8579513823731
"lyr194",2.88049143485584
"lyr195",2.80337133739872
"lyr196",2.87421645657608
"lyr197",2.83587319801242
"lyr198",2.8669639030029
"lyr199",2.85747092505024
"lyr200",2.9054475477389
"lyr201",2.87022236035186
"lyr202",2.89736462678635
"lyr203",2.81751373234176
"lyr204",3.005928474636
"lyr205",2.86672557787721
"lyr206",2.99919194263958
"lyr207",2.86456890557144
"lyr208",2.93734566224097
"lyr209",2.90530278749856
"lyr210",2.82484463957496
"lyr211",2.87220822869499
"lyr212",2.90176286649354
"lyr213",2.92667930316466
"lyr214",2.92343979778622
"lyr215",2.92981429461844
"lyr216",2.87882866821154
"lyr217",2.98145497483564
"lyr218",2.89941881072857
"lyr219",2.73142789510213
"lyr220",2.72059962907384
"lyr221",2.71342953231444
"lyr222",2.79853675932877
"lyr223",2.73499055895073
"lyr224",2.86014152455164
"lyr225",2.81121174071201
"lyr226",2.73047480766201
"lyr227",2.80088729048771
"lyr228",2.87878553554964
"lyr229",2.9180285055808
"lyr230",2.78166835392729
"lyr231",2.76472726499222
"lyr232",2.82599381062933
"lyr233",2.7940577635297
"lyr234",2.8395374784699
"lyr235",2.89154725349133
"lyr236",2.83712209599589
"lyr237",2.85821948887023
"lyr238",2.85428429576288
"lyr239",2.95717175612405
"lyr240",2.86491412241183
"lyr241",2.88718841790673
"lyr242",2.88427253985066
"lyr243",2.98558311671946
"lyr244",2.94405063039863
"lyr245",2.90605089409573
"lyr246",2.93984175442936
"lyr247",2.91442500891975
"lyr248",2.90863821229912
"lyr249",2.86688782528395
"lyr250",2.88629092362676
"lyr251",2.92488870113868
