"","sum","Year"
"Thawed_N_1",1.04904815256521,1850
"Thawed_N_2",1.06268619626439,1851
"Thawed_N_3",1.05598278859253,1852
"Thawed_N_4",1.11706962945143,1853
"Thawed_N_5",1.07415365036299,1854
"Thawed_N_6",1.09926263737428,1855
"Thawed_N_7",1.10486149226568,1856
"Thawed_N_8",1.1464939074842,1857
"Thawed_N_9",1.12786675728932,1858
"Thawed_N_10",1.02830596769712,1859
"Thawed_N_11",1.10197936467676,1860
"Thawed_N_12",1.07355594642545,1861
"Thawed_N_13",1.1060366021673,1862
"Thawed_N_14",1.09632686008636,1863
"Thawed_N_15",1.12374510685608,1864
"Thawed_N_16",1.11481217626092,1865
"Thawed_N_17",1.11957608785818,1866
"Thawed_N_18",1.09643197179347,1867
"Thawed_N_19",1.11617454523027,1868
"Thawed_N_20",1.06322485915989,1869
"Thawed_N_21",1.089889233107,1870
"Thawed_N_22",1.07609818147245,1871
"Thawed_N_23",1.12143313307989,1872
"Thawed_N_24",1.14056459107006,1873
"Thawed_N_25",1.10923170785754,1874
"Thawed_N_26",1.16017028831948,1875
"Thawed_N_27",1.13816002968132,1876
"Thawed_N_28",1.19792050136469,1877
"Thawed_N_29",1.19294392273471,1878
"Thawed_N_30",1.14279368822213,1879
"Thawed_N_31",1.12013730261899,1880
"Thawed_N_32",1.15652276046183,1881
"Thawed_N_33",1.13155626136478,1882
"Thawed_N_34",1.16950210273767,1883
"Thawed_N_35",1.13413794695722,1884
"Thawed_N_36",1.09730988710487,1885
"Thawed_N_37",1.14204696620053,1886
"Thawed_N_38",1.08424053401994,1887
"Thawed_N_39",1.07845257843378,1888
"Thawed_N_40",1.14127223524876,1889
"Thawed_N_41",1.12899355305763,1890
"Thawed_N_42",1.07879656966917,1891
"Thawed_N_43",1.15103528836013,1892
"Thawed_N_44",1.15384764179627,1893
"Thawed_N_45",1.16617492576431,1894
"Thawed_N_46",1.13729478276821,1895
"Thawed_N_47",1.19039459510378,1896
"Thawed_N_48",1.13925911441222,1897
"Thawed_N_49",1.17614321804211,1898
"Thawed_N_50",1.16502463582623,1899
"Thawed_N_51",1.19486710688637,1900
"Thawed_N_52",1.19228879751373,1901
"Thawed_N_53",1.17077085782086,1902
"Thawed_N_54",1.09249061894021,1903
"Thawed_N_55",1.12701157536701,1904
"Thawed_N_56",1.16786985595876,1905
"Thawed_N_57",1.15026063326728,1906
"Thawed_N_58",1.15578662778334,1907
"Thawed_N_59",1.12493999823997,1908
"Thawed_N_60",1.1843270767615,1909
"Thawed_N_61",1.16419692479519,1910
"Thawed_N_62",1.15061731585513,1911
"Thawed_N_63",1.1174649701252,1912
"Thawed_N_64",1.13406641981633,1913
"Thawed_N_65",1.09190000792882,1914
"Thawed_N_66",1.16972734528639,1915
"Thawed_N_67",1.16443250145222,1916
"Thawed_N_68",1.09920623310241,1917
"Thawed_N_69",1.19295608331176,1918
"Thawed_N_70",1.16979251132891,1919
"Thawed_N_71",1.12150613559877,1920
"Thawed_N_72",1.11601009570165,1921
"Thawed_N_73",1.16392857858319,1922
"Thawed_N_74",1.19924239539975,1923
"Thawed_N_75",1.16540979860236,1924
"Thawed_N_76",1.17594058927613,1925
"Thawed_N_77",1.13020072871501,1926
"Thawed_N_78",1.16676749180536,1927
"Thawed_N_79",1.20803439510044,1928
