Year,SSP126,SSP245,SSP370,SSP585
1944,-0.238812955,-0.238812955,0.028734587,0.028734587
1945,1.777267686,1.777267686,1.249670941,1.249670941
1946,1.607391853,1.607391853,1.558011769,1.558011769
1947,0.845497311,0.845497311,1.26686021,1.26686021
1948,1.309429147,1.309429147,0.559596998,0.559596998
1949,1.635459386,1.635459386,1.145835487,1.145835487
1950,0.955988015,0.955988015,0.825746305,0.825746305
1951,0.781546535,0.781546535,1.311046798,1.311046798
1952,1.394163683,1.394163683,1.19751412,1.19751412
1953,2.199256149,2.199256149,2.26867489,2.26867489
1954,0.661682607,0.661682607,0.738907153,0.738907153
1955,1.375842909,1.375842909,1.707320618,1.707320618
1956,1.090095813,1.090095813,0.783832833,0.783832833
1957,1.818557095,1.818557095,1.71848389,1.71848389
1958,1.228861179,1.228861179,0.974355979,0.974355979
1959,1.325365696,1.325365696,1.421012923,1.421012923
1960,0.340016737,0.340016737,0.797525745,0.797525745
1961,0.698153097,0.698153097,1.03105254,1.03105254
1962,1.391820189,1.391820189,0.410180972,0.410180972
1963,2.417597159,2.417597159,2.241755785,2.241755785
1964,0.682167369,0.682167369,0.819759312,0.819759312
1965,0.472653329,0.472653329,0.955667545,0.955667545
1966,0.222547313,0.222547313,0.361464437,0.361464437
1967,-0.735411762,-0.735411762,-0.583674484,-0.583674484
1968,0.845845816,0.845845816,-0.30382404,-0.30382404
1969,-0.12292923,-0.12292923,-0.42738017,-0.42738017
1970,0.381196679,0.381196679,0.291761028,0.291761028
1971,1.18579006,1.18579006,0.445444623,0.445444623
1972,-0.258416128,-0.258416128,-1.32987131,-1.32987131
1973,0.776640588,0.776640588,0.298255151,0.298255151
1974,-0.385238576,-0.385238576,-0.674776088,-0.674776088
1975,2.154458222,2.154458222,0.852191087,0.852191087
1976,1.600266537,1.600266537,1.152520401,1.152520401
1977,1.13869917,1.13869917,0.750143328,0.750143328
1978,1.656533386,1.656533386,1.227836691,1.227836691
1979,1.213082403,1.213082403,0.302930377,0.302930377
1980,1.957690826,1.957690826,1.717689387,1.717689387
