Year,SSP126,SSP245,SSP370,SSP585
1850,-0.236042393,-0.236042393,-0.223860583,-0.223860583
1851,-0.153251782,-0.153251782,-0.190944711,-0.190944711
1852,-0.244757715,-0.244757715,-0.290708976,-0.290708976
1853,-0.059745975,-0.059745975,-0.097369097,-0.097369097
1854,-0.139292792,-0.139292792,-0.181677611,-0.181677611
1855,-0.175610297,-0.175610297,-0.240642296,-0.240642296
1856,-0.136014963,-0.136014963,-0.090878639,-0.090878639
1857,-0.032856556,-0.032856556,-0.101394345,-0.101394345
1858,-0.106172389,-0.106172389,0.002182948,0.002182948
1859,-0.393270707,-0.393270707,-0.314792076,-0.314792076
1860,-0.141538844,-0.141538844,-0.037052912,-0.037052912
1861,-0.1861004,-0.1861004,-0.123255517,-0.123255517
1862,-0.128999529,-0.128999529,-0.087374278,-0.087374278
1863,-0.123113251,-0.123113251,-0.148690911,-0.148690911
1864,-0.118902307,-0.118902307,-0.042468376,-0.042468376
1865,-0.072002423,-0.072002423,-0.137080276,-0.137080276
1866,-0.053612111,-0.053612111,-0.127368555,-0.127368555
1867,-0.110859822,-0.110859822,-0.026887854,-0.026887854
1868,-0.144076661,-0.144076661,-0.188472624,-0.188472624
1869,-0.126181674,-0.126181674,-0.152940319,-0.152940319
1870,-0.105768574,-0.105768574,-0.063947512,-0.063947512
1871,-0.10094792,-0.10094792,-0.160476934,-0.160476934
1872,-0.06566944,-0.06566944,-0.102345855,-0.102345855
1873,0.046563079,0.046563079,0.02036588,0.02036588
1874,0.039642863,0.039642863,-0.034254964,-0.034254964
1875,0.127957483,0.127957483,0.124741875,0.124741875
1876,0.084989133,0.084989133,0.028394264,0.028394264
1877,0.186798637,0.186798637,0.115157889,0.115157889
1878,0.121261579,0.121261579,0.097762873,0.097762873
1879,-0.024225604,-0.024225604,0.029012719,0.029012719
1880,-0.099828917,-0.099828917,-0.097885053,-0.097885053
1881,-0.020215711,-0.020215711,0.036354554,0.036354554
1882,-0.029779006,-0.029779006,0.006984434,0.006984434
1883,0.052663303,0.052663303,0.048054724,0.048054724
1884,-0.005597977,-0.005597977,0.032232354,0.032232354
1885,-0.019631426,-0.019631426,-0.000382653,-0.000382653
1886,-0.008630142,-0.008630142,0.060705245,0.060705245
1887,-0.111120167,-0.111120167,-0.147774745,-0.147774745
1888,-0.055984285,-0.055984285,-0.02774899,-0.02774899
1889,-0.007691735,-0.007691735,-0.05696176,-0.05696176
1890,-0.076502746,-0.076502746,-0.024288724,-0.024288724
1891,-0.104143792,-0.104143792,-0.158059715,-0.158059715
1892,0.103564869,0.103564869,0.0820804,0.0820804
1893,0.120950386,0.120950386,0.065229293,0.065229293
1894,0.080282247,0.080282247,0.100887828,0.100887828
1895,-0.004452601,-0.004452601,-0.058211172,-0.058211172
1896,0.018251264,0.018251264,0.042058302,0.042058302
1897,-0.023361385,-0.023361385,0.000433252,0.000433252
1898,0.069804846,0.069804846,0.00630299,0.00630299
1899,-0.027036575,-0.027036575,-0.033833328,-0.033833328
1900,0.148459559,0.148459559,0.123822766,0.123822766
1901,0.037503868,0.037503868,0.046516036,0.046516036
1902,-0.01504772,-0.01504772,-0.034250321,-0.034250321
1903,-0.083313773,-0.083313773,-0.141873492,-0.141873492
1904,-0.040091588,-0.040091588,-0.091698332,-0.091698332
1905,0.055315874,0.055315874,0.03539245,0.03539245
1906,0.020598766,0.020598766,-0.015361751,-0.015361751
1907,-0.016668442,-0.016668442,-0.022335105,-0.022335105
1908,-0.082358504,-0.082358504,-0.058996531,-0.058996531
1909,0.020029208,0.020029208,0.09979709,0.09979709
1910,0.033958931,0.033958931,-0.004891859,-0.004891859
1911,-0.014652971,-0.014652971,-0.061129358,-0.061129358
1912,-0.026697894,-0.026697894,-0.102164003,-0.102164003
1913,0.030240334,0.030240334,-0.063467392,-0.063467392
1914,-0.09027545,-0.09027545,-0.12836388,-0.12836388
1915,-0.061337382,-0.061337382,-0.158531868,-0.158531868
1916,0.09406237,0.09406237,-0.045469744,-0.045469744
1917,-0.159151975,-0.159151975,-0.156924796,-0.156924796
1918,0.09509902,0.09509902,-0.055364674,-0.055364674
1919,0.104421393,0.104421393,0.060154327,0.060154327
1920,-0.038494548,-0.038494548,-0.10850812,-0.10850812
1921,-0.118241934,-0.118241934,-0.159065156,-0.159065156
1922,0.105361613,0.105361613,0.048068357,0.048068357
1923,0.157977441,0.157977441,0.045209461,0.045209461
1924,-0.00578808,-0.00578808,-0.022354615,-0.022354615
1925,0.112597742,0.112597742,0.050081019,0.050081019
1926,0.003420749,0.003420749,0.008080261,0.008080261
1927,-0.02920259,-0.02920259,0.00550411,0.00550411
1928,0.076622174,0.076622174,0.01611482,0.01611482
1929,0.228438361,0.228438361,0.127479314,0.127479314
1930,0.053814256,0.053814256,0.014677311,0.014677311
1931,0.055835319,0.055835319,0.004831419,0.004831419
1932,0.199132724,0.199132724,0.134310193,0.134310193
1933,0.034001449,0.034001449,0.019559029,0.019559029
1934,0.001793058,0.001793058,0.03427518,0.03427518
1935,-0.086570601,-0.086570601,-0.081938679,-0.081938679
1936,0.059365787,0.059365787,0.029361105,0.029361105
1937,0.046001948,0.046001948,0.082977029,0.082977029
1938,0.070206446,0.070206446,-0.039940821,-0.039940821
1939,0.100811153,0.100811153,0.077292599,0.077292599
1940,0.211251911,0.211251911,0.109579272,0.109579272
1941,0.024737586,0.024737586,-0.057889721,-0.057889721
1942,-0.001989059,-0.001989059,0.020110075,0.020110075
1943,0.036219917,0.036219917,0.065738791,0.065738791
1944,-0.023881295,-0.023881295,0.002873459,0.002873459
1945,0.177726769,0.177726769,0.124967093,0.124967093
1946,0.160739186,0.160739186,0.155801176,0.155801176
1947,0.08454973,0.08454973,0.12668602,0.12668602
1948,0.130942912,0.130942912,0.055959699,0.055959699
1949,0.163545944,0.163545944,0.11458355,0.11458355
1950,0.095598802,0.095598802,0.08257463,0.08257463
1951,0.078154653,0.078154653,0.13110468,0.13110468
1952,0.13941637,0.13941637,0.119751412,0.119751412
1953,0.219925615,0.219925615,0.226867489,0.226867489
1954,0.066168261,0.066168261,0.073890715,0.073890715
1955,0.137584291,0.137584291,0.170732061,0.170732061
1956,0.109009581,0.109009581,0.078383283,0.078383283
1957,0.181855709,0.181855709,0.171848389,0.171848389
1958,0.122886118,0.122886118,0.097435598,0.097435598
1959,0.132536569,0.132536569,0.142101292,0.142101292
1960,0.034001674,0.034001674,0.079752575,0.079752575
1961,0.069815311,0.069815311,0.103105254,0.103105254
1962,0.13918202,0.13918202,0.041018097,0.041018097
1963,0.241759716,0.241759716,0.224175579,0.224175579
1964,0.068216735,0.068216735,0.081975931,0.081975931
1965,0.047265333,0.047265333,0.095566754,0.095566754
1966,0.022254732,0.022254732,0.036146443,0.036146443
1967,-0.073541175,-0.073541175,-0.058367449,-0.058367449
1968,0.084584582,0.084584582,-0.030382403,-0.030382403
1969,-0.012292921,-0.012292921,-0.042738016,-0.042738016
1970,0.038119669,0.038119669,0.029176102,0.029176102
1971,0.118579005,0.118579005,0.044544463,0.044544463
1972,-0.025841613,-0.025841613,-0.132987131,-0.132987131
1973,0.077664058,0.077664058,0.029825514,0.029825514
1974,-0.038523858,-0.038523858,-0.067477609,-0.067477609
1975,0.21544582,0.21544582,0.085219109,0.085219109
1976,0.160026654,0.160026654,0.115252039,0.115252039
1977,0.113869917,0.113869917,0.075014332,0.075014332
1978,0.165653338,0.165653338,0.122783669,0.122783669
1979,0.121308242,0.121308242,0.030293038,0.030293038
1980,0.195769082,0.195769082,0.171768938,0.171768938
1981,0.050555524,0.050555524,0.033213729,0.033213729
1982,0.210884867,0.210884867,0.151701421,0.151701421
1983,0.283669747,0.283669747,0.154927527,0.154927527
1984,0.253123347,0.253123347,0.113021147,0.113021147
1985,0.213372489,0.213372489,0.174627216,0.174627216
1986,0.277765115,0.277765115,0.183099685,0.183099685
1987,0.186084553,0.186084553,0.16261355,0.16261355
1988,0.173353746,0.173353746,0.162561031,0.162561031
1989,0.298479122,0.298479122,0.139765457,0.139765457
1990,0.250177339,0.250177339,0.20409525,0.20409525
1991,0.235414626,0.235414626,0.193203328,0.193203328
1992,0.190445382,0.190445382,0.124862181,0.124862181
1993,0.260985373,0.260985373,0.247941789,0.247941789
1994,0.317052102,0.317052102,0.193722755,0.193722755
1995,0.091949962,0.091949962,0.074781076,0.074781076
1996,0.316074276,0.316074276,0.299640219,0.299640219
1997,0.481463521,0.481463521,0.378107018,0.378107018
1998,0.495981727,0.495981727,0.433597079,0.433597079
1999,0.602389979,0.602389979,0.447923214,0.447923214
2000,0.600865966,0.600865966,0.49949546,0.49949546
